"Time (CET)","Day-ahead Total Load Forecast [MW] - Ireland (IE)","Actual Total Load [MW] - Ireland (IE)"
"27.05.2019 16:30 - 27.05.2019 17:00","3648","3647"
"27.05.2019 17:00 - 27.05.2019 17:30","3692","3656"
"27.05.2019 17:30 - 27.05.2019 18:00","3730","3678"
"27.05.2019 18:00 - 27.05.2019 18:30","3709","3739"
"27.05.2019 18:30 - 27.05.2019 19:00","3631","3827"
"27.05.2019 19:00 - 27.05.2019 19:30","3546","3810"
"27.05.2019 19:30 - 27.05.2019 20:00","3452","3785"
"27.05.2019 20:00 - 27.05.2019 20:30","3372","3633"
"27.05.2019 20:30 - 27.05.2019 21:00","3326","3546"
"27.05.2019 21:00 - 27.05.2019 21:30","3308","3485"
"27.05.2019 21:30 - 27.05.2019 22:00","3280","3401"
"27.05.2019 22:00 - 27.05.2019 22:30","3309","3349"
"27.05.2019 22:30 - 27.05.2019 23:00","3243","3261"
"27.05.2019 23:00 - 27.05.2019 23:30","3054","3256"
"27.05.2019 23:30 - 28.05.2019 00:00","2874","3142"
"28.05.2019 00:00 - 28.05.2019 00:30","2720","2965"
"28.05.2019 00:30 - 28.05.2019 01:00","2628","2811"
"28.05.2019 01:00 - 28.05.2019 01:30","2525","2681"
"28.05.2019 01:30 - 28.05.2019 02:00","2444","2599"
"28.05.2019 02:00 - 28.05.2019 02:30","2371","2501"
"28.05.2019 02:30 - 28.05.2019 03:00","2326","2441"
"28.05.2019 03:00 - 28.05.2019 03:30","2281","2400"
"28.05.2019 03:30 - 28.05.2019 04:00","2257","2375"
"28.05.2019 04:00 - 28.05.2019 04:30","2248","2297"
"28.05.2019 04:30 - 28.05.2019 05:00","2249","2284"
"28.05.2019 05:00 - 28.05.2019 05:30","2246","2282"
"28.05.2019 05:30 - 28.05.2019 06:00","2242","2308"
"28.05.2019 06:00 - 28.05.2019 06:30","2301","2323"
"28.05.2019 06:30 - 28.05.2019 07:00","2487","2367"
"28.05.2019 07:00 - 28.05.2019 07:30","2738","2472"
"28.05.2019 07:30 - 28.05.2019 08:00","3054","2693"
"28.05.2019 08:00 - 28.05.2019 08:30","3325","2932"
"28.05.2019 08:30 - 28.05.2019 09:00","3476","3283"
"28.05.2019 09:00 - 28.05.2019 09:30","3548","3470"
"28.05.2019 09:30 - 28.05.2019 10:00","3602","3614"
"28.05.2019 10:00 - 28.05.2019 10:30","3609","3642"
"28.05.2019 10:30 - 28.05.2019 11:00","3611","3690"
"28.05.2019 11:00 - 28.05.2019 11:30","3619","3677"
"28.05.2019 11:30 - 28.05.2019 12:00","3627","3675"
"28.05.2019 12:00 - 28.05.2019 12:30","3639","3674"
"28.05.2019 12:30 - 28.05.2019 13:00","3636","3677"
"28.05.2019 13:00 - 28.05.2019 13:30","3624","3705"
"28.05.2019 13:30 - 28.05.2019 14:00","3550","3713"
"28.05.2019 14:00 - 28.05.2019 14:30","3541","3723"
"28.05.2019 14:30 - 28.05.2019 15:00","3543","3645"
"28.05.2019 15:00 - 28.05.2019 15:30","3537","3644"
"28.05.2019 15:30 - 28.05.2019 16:00","3558","3643"
"28.05.2019 16:00 - 28.05.2019 16:30","3568","3652"
"28.05.2019 16:30 - 28.05.2019 17:00","3611","3680"
"28.05.2019 17:00 - 28.05.2019 17:30","3634","3673"
"28.05.2019 17:30 - 28.05.2019 18:00","3677","3739"
"28.05.2019 18:00 - 28.05.2019 18:30","3652","3811"
"28.05.2019 18:30 - 28.05.2019 19:00","3580","3841"
"28.05.2019 19:00 - 28.05.2019 19:30","3492","3834"
"28.05.2019 19:30 - 28.05.2019 20:00","3410","3767"
"28.05.2019 20:00 - 28.05.2019 20:30","3337","3670"
"28.05.2019 20:30 - 28.05.2019 21:00","3297","3593"
"28.05.2019 21:00 - 28.05.2019 21:30","3295","3532"
"28.05.2019 21:30 - 28.05.2019 22:00","3247","3481"
"28.05.2019 22:00 - 28.05.2019 22:30","3317","3452"
"28.05.2019 22:30 - 28.05.2019 23:00","3255","3405"
"28.05.2019 23:00 - 28.05.2019 23:30","3073","3387"
"28.05.2019 23:30 - 29.05.2019 00:00","2889","3260"
"29.05.2019 00:00 - 29.05.2019 00:30","2728","3072"
"29.05.2019 00:30 - 29.05.2019 01:00","2632","2895"
"29.05.2019 01:00 - 29.05.2019 01:30","2527","2747"
"29.05.2019 01:30 - 29.05.2019 02:00","2440","2654"
"29.05.2019 02:00 - 29.05.2019 02:30","2366","2556"
"29.05.2019 02:30 - 29.05.2019 03:00","2321","2489"
"29.05.2019 03:00 - 29.05.2019 03:30","2279","2430"
"29.05.2019 03:30 - 29.05.2019 04:00","2256","2405"
"29.05.2019 04:00 - 29.05.2019 04:30","2249","2376"
"29.05.2019 04:30 - 29.05.2019 05:00","2254","2368"
"29.05.2019 05:00 - 29.05.2019 05:30","2238","2334"
"29.05.2019 05:30 - 29.05.2019 06:00","2233","2355"
"29.05.2019 06:00 - 29.05.2019 06:30","2297","2396"
"29.05.2019 06:30 - 29.05.2019 07:00","2475","2397"
"29.05.2019 07:00 - 29.05.2019 07:30","2742","2504"
"29.05.2019 07:30 - 29.05.2019 08:00","3068","2720"
"29.05.2019 08:00 - 29.05.2019 08:30","3312","2980"
"29.05.2019 08:30 - 29.05.2019 09:00","3468","3301"
"29.05.2019 09:00 - 29.05.2019 09:30","3522","3524"
"29.05.2019 09:30 - 29.05.2019 10:00","3585","3617"
"29.05.2019 10:00 - 29.05.2019 10:30","3602","3658"
"29.05.2019 10:30 - 29.05.2019 11:00","3602","3705"
"29.05.2019 11:00 - 29.05.2019 11:30","3602","3684"
"29.05.2019 11:30 - 29.05.2019 12:00","3616","3686"
"29.05.2019 12:00 - 29.05.2019 12:30","3620","3682"
"29.05.2019 12:30 - 29.05.2019 13:00","3637","3685"
"29.05.2019 13:00 - 29.05.2019 13:30","3626","3721"
"29.05.2019 13:30 - 29.05.2019 14:00","3548","3724"
"29.05.2019 14:00 - 29.05.2019 14:30","3546","3720"
"29.05.2019 14:30 - 29.05.2019 15:00","3558","3642"
"29.05.2019 15:00 - 29.05.2019 15:30","3550","3642"
"29.05.2019 15:30 - 29.05.2019 16:00","3572","3656"
"29.05.2019 16:00 - 29.05.2019 16:30","3569","3628"
"29.05.2019 16:30 - 29.05.2019 17:00","3608","3677"
"29.05.2019 17:00 - 29.05.2019 17:30","3660","3670"
"29.05.2019 17:30 - 29.05.2019 18:00","3693","3728"
"29.05.2019 18:00 - 29.05.2019 18:30","3674","3743"
"29.05.2019 18:30 - 29.05.2019 19:00","3594","3799"
"29.05.2019 19:00 - 29.05.2019 19:30","3507","3793"
"29.05.2019 19:30 - 29.05.2019 20:00","3430","3717"
"29.05.2019 20:00 - 29.05.2019 20:30","3354","3688"
"29.05.2019 20:30 - 29.05.2019 21:00","3299","3585"
"29.05.2019 21:00 - 29.05.2019 21:30","3302","3551"
"29.05.2019 21:30 - 29.05.2019 22:00","3263","3448"
"29.05.2019 22:00 - 29.05.2019 22:30","3320","3423"
"29.05.2019 22:30 - 29.05.2019 23:00","3251","3327"
"29.05.2019 23:00 - 29.05.2019 23:30","3060","3317"
"29.05.2019 23:30 - 30.05.2019 00:00","2891","3211"
"30.05.2019 00:00 - 30.05.2019 00:30","2753","3029"
"30.05.2019 00:30 - 30.05.2019 01:00","2651","2858"
"30.05.2019 01:00 - 30.05.2019 01:30","2539","2727"
"30.05.2019 01:30 - 30.05.2019 02:00","2457","2670"
"30.05.2019 02:00 - 30.05.2019 02:30","2389","2563"
"30.05.2019 02:30 - 30.05.2019 03:00","2336","2506"
"30.05.2019 03:00 - 30.05.2019 03:30","2290","2450"
"30.05.2019 03:30 - 30.05.2019 04:00","2272","2414"
"30.05.2019 04:00 - 30.05.2019 04:30","2259","2377"
"30.05.2019 04:30 - 30.05.2019 05:00","2269","2364"
"30.05.2019 05:00 - 30.05.2019 05:30","2255","2377"
"30.05.2019 05:30 - 30.05.2019 06:00","2249","2382"
"30.05.2019 06:00 - 30.05.2019 06:30","2306","2387"
"30.05.2019 06:30 - 30.05.2019 07:00","2478","2385"
"30.05.2019 07:00 - 30.05.2019 07:30","2731","2442"
"30.05.2019 07:30 - 30.05.2019 08:00","3044","2672"
"30.05.2019 08:00 - 30.05.2019 08:30","3298","2945"
"30.05.2019 08:30 - 30.05.2019 09:00","3459","3271"
"30.05.2019 09:00 - 30.05.2019 09:30","3532","3464"
"30.05.2019 09:30 - 30.05.2019 10:00","3583","3573"
"30.05.2019 10:00 - 30.05.2019 10:30","3602","3570"
"30.05.2019 10:30 - 30.05.2019 11:00","3606","3633"
"30.05.2019 11:00 - 30.05.2019 11:30","3613","3647"
"30.05.2019 11:30 - 30.05.2019 12:00","3620","3656"
"30.05.2019 12:00 - 30.05.2019 12:30","3640","3679"
"30.05.2019 12:30 - 30.05.2019 13:00","3675","3682"
"30.05.2019 13:00 - 30.05.2019 13:30","3657","3663"
"30.05.2019 13:30 - 30.05.2019 14:00","3594","3712"
"30.05.2019 14:00 - 30.05.2019 14:30","3563","3703"
"30.05.2019 14:30 - 30.05.2019 15:00","3576","3636"
"30.05.2019 15:00 - 30.05.2019 15:30","3577","3641"
"30.05.2019 15:30 - 30.05.2019 16:00","3590","3630"
"30.05.2019 16:00 - 30.05.2019 16:30","3590","3633"
"30.05.2019 16:30 - 30.05.2019 17:00","3630","3654"
"30.05.2019 17:00 - 30.05.2019 17:30","3682","3675"
"30.05.2019 17:30 - 30.05.2019 18:00","3720","3704"
"30.05.2019 18:00 - 30.05.2019 18:30","3705","3747"
"30.05.2019 18:30 - 30.05.2019 19:00","3649","3794"
"30.05.2019 19:00 - 30.05.2019 19:30","3566","3790"
"30.05.2019 19:30 - 30.05.2019 20:00","3504","3749"
"30.05.2019 20:00 - 30.05.2019 20:30","3420","3669"
"30.05.2019 20:30 - 30.05.2019 21:00","3373","3625"
"30.05.2019 21:00 - 30.05.2019 21:30","3364","3538"
"30.05.2019 21:30 - 30.05.2019 22:00","3317","3469"
"30.05.2019 22:00 - 30.05.2019 22:30","3327","3439"
"30.05.2019 22:30 - 30.05.2019 23:00","3252","3408"
"30.05.2019 23:00 - 30.05.2019 23:30","3082","3412"
"30.05.2019 23:30 - 31.05.2019 00:00","2903","3258"
"31.05.2019 00:00 - 31.05.2019 00:30","2761","3061"
"31.05.2019 00:30 - 31.05.2019 01:00","2672","2887"
"31.05.2019 01:00 - 31.05.2019 01:30","2565","2739"
"31.05.2019 01:30 - 31.05.2019 02:00","2476","2651"
"31.05.2019 02:00 - 31.05.2019 02:30","2400","2542"
"31.05.2019 02:30 - 31.05.2019 03:00","2347","2467"
"31.05.2019 03:00 - 31.05.2019 03:30","2304","2388"
"31.05.2019 03:30 - 31.05.2019 04:00","2269","2346"
"31.05.2019 04:00 - 31.05.2019 04:30","2261","2307"
"31.05.2019 04:30 - 31.05.2019 05:00","2267","2295"
"31.05.2019 05:00 - 31.05.2019 05:30","2247","2327"
"31.05.2019 05:30 - 31.05.2019 06:00","2238","2353"
"31.05.2019 06:00 - 31.05.2019 06:30","2298","2378"
"31.05.2019 06:30 - 31.05.2019 07:00","2463","2335"
"31.05.2019 07:00 - 31.05.2019 07:30","2694","2426"
"31.05.2019 07:30 - 31.05.2019 08:00","2997","2641"
"31.05.2019 08:00 - 31.05.2019 08:30","3261","2865"
"31.05.2019 08:30 - 31.05.2019 09:00","3430","3208"
"31.05.2019 09:00 - 31.05.2019 09:30","3507","3437"
"31.05.2019 09:30 - 31.05.2019 10:00","3578","3593"
"31.05.2019 10:00 - 31.05.2019 10:30","3591","3644"
"31.05.2019 10:30 - 31.05.2019 11:00","3588","3670"
"31.05.2019 11:00 - 31.05.2019 11:30","3610","3663"
"31.05.2019 11:30 - 31.05.2019 12:00","3615","3663"
"31.05.2019 12:00 - 31.05.2019 12:30","3610","3672"
"31.05.2019 12:30 - 31.05.2019 13:00","3618","3678"
"31.05.2019 13:00 - 31.05.2019 13:30","3610","3681"
"31.05.2019 13:30 - 31.05.2019 14:00","3533","3694"
"31.05.2019 14:00 - 31.05.2019 14:30","3512","3704"
"31.05.2019 14:30 - 31.05.2019 15:00","3502","3611"
"31.05.2019 15:00 - 31.05.2019 15:30","3491","3579"
"31.05.2019 15:30 - 31.05.2019 16:00","3495","3561"
"31.05.2019 16:00 - 31.05.2019 16:30","3476","3534"
"31.05.2019 16:30 - 31.05.2019 17:00","3470","3522"
"31.05.2019 17:00 - 31.05.2019 17:30","3470","3542"
"31.05.2019 17:30 - 31.05.2019 18:00","3523","3580"
"31.05.2019 18:00 - 31.05.2019 18:30","3511","3628"
"31.05.2019 18:30 - 31.05.2019 19:00","3459","3659"
"31.05.2019 19:00 - 31.05.2019 19:30","3396","3629"
"31.05.2019 19:30 - 31.05.2019 20:00","3339","3582"
"31.05.2019 20:00 - 31.05.2019 20:30","3262","3490"
"31.05.2019 20:30 - 31.05.2019 21:00","3207","3404"
"31.05.2019 21:00 - 31.05.2019 21:30","3157","3304"
"31.05.2019 21:30 - 31.05.2019 22:00","3104","3246"
"31.05.2019 22:00 - 31.05.2019 22:30","3140","3163"
"31.05.2019 22:30 - 31.05.2019 23:00","3100","3131"
"31.05.2019 23:00 - 31.05.2019 23:30","3006","3116"
"31.05.2019 23:30 - 01.06.2019 00:00","2899","3098"
"01.06.2019 00:00 - 01.06.2019 00:30","3271","2999"
"01.06.2019 00:30 - 01.06.2019 01:00","3068","2878"
"01.06.2019 01:00 - 01.06.2019 01:30","2938","2761"
"01.06.2019 01:30 - 01.06.2019 02:00","2838","2670"
"01.06.2019 02:00 - 01.06.2019 02:30","2716","2571"
"01.06.2019 02:30 - 01.06.2019 03:00","2623","2484"
"01.06.2019 03:00 - 01.06.2019 03:30","2534","2415"
"01.06.2019 03:30 - 01.06.2019 04:00","2477","2381"
"01.06.2019 04:00 - 01.06.2019 04:30","2413","2335"
"01.06.2019 04:30 - 01.06.2019 05:00","2382","2314"
"01.06.2019 05:00 - 01.06.2019 05:30","2350","2309"
"01.06.2019 05:30 - 01.06.2019 06:00","2344","2334"
"01.06.2019 06:00 - 01.06.2019 06:30","2295","2295"
"01.06.2019 06:30 - 01.06.2019 07:00","2267","2272"
"01.06.2019 07:00 - 01.06.2019 07:30","2293","2324"
"01.06.2019 07:30 - 01.06.2019 08:00","2371","2400"
"01.06.2019 08:00 - 01.06.2019 08:30","2472","2511"
"01.06.2019 08:30 - 01.06.2019 09:00","2631","2661"
"01.06.2019 09:00 - 01.06.2019 09:30","2795","2827"
"01.06.2019 09:30 - 01.06.2019 10:00","2993","3014"
"01.06.2019 10:00 - 01.06.2019 10:30","3265","3148"
"01.06.2019 10:30 - 01.06.2019 11:00","3405","3260"
"01.06.2019 11:00 - 01.06.2019 11:30","3489","3296"
"01.06.2019 11:30 - 01.06.2019 12:00","3552","3351"
"01.06.2019 12:00 - 01.06.2019 12:30","3558","3353"
"01.06.2019 12:30 - 01.06.2019 13:00","3577","3369"
"01.06.2019 13:00 - 01.06.2019 13:30","3561","3338"
"01.06.2019 13:30 - 01.06.2019 14:00","3571","3358"
"01.06.2019 14:00 - 01.06.2019 14:30","3556","3354"
"01.06.2019 14:30 - 01.06.2019 15:00","3491","3290"
"01.06.2019 15:00 - 01.06.2019 15:30","3427","3247"
"01.06.2019 15:30 - 01.06.2019 16:00","3388","3222"
"01.06.2019 16:00 - 01.06.2019 16:30","3372","3170"
"01.06.2019 16:30 - 01.06.2019 17:00","3357","3154"
"01.06.2019 17:00 - 01.06.2019 17:30","3341","3158"
"01.06.2019 17:30 - 01.06.2019 18:00","3371","3190"
"01.06.2019 18:00 - 01.06.2019 18:30","3432","3268"
"01.06.2019 18:30 - 01.06.2019 19:00","3503","3344"
"01.06.2019 19:00 - 01.06.2019 19:30","3527","3377"
"01.06.2019 19:30 - 01.06.2019 20:00","3507","3356"
"01.06.2019 20:00 - 01.06.2019 20:30","3446","3293"
"01.06.2019 20:30 - 01.06.2019 21:00","3366","3204"
"01.06.2019 21:00 - 01.06.2019 21:30","3278","3116"
"01.06.2019 21:30 - 01.06.2019 22:00","3113","3042"
"01.06.2019 22:00 - 01.06.2019 22:30","3074","3031"
"01.06.2019 22:30 - 01.06.2019 23:00","3043","2967"
"01.06.2019 23:00 - 01.06.2019 23:30","3057","2948"
"01.06.2019 23:30 - 02.06.2019 00:00","3047","2909"
"02.06.2019 00:00 - 02.06.2019 00:30","2970","2780"
"02.06.2019 00:30 - 02.06.2019 01:00","2871","2670"
"02.06.2019 01:00 - 02.06.2019 01:30","2793","2589"
"02.06.2019 01:30 - 02.06.2019 02:00","2731","2538"
"02.06.2019 02:00 - 02.06.2019 02:30","2620","2468"
"02.06.2019 02:30 - 02.06.2019 03:00","2550","2404"
"02.06.2019 03:00 - 02.06.2019 03:30","2466","2326"
"02.06.2019 03:30 - 02.06.2019 04:00","2406","2288"
"02.06.2019 04:00 - 02.06.2019 04:30","2356","2238"
"02.06.2019 04:30 - 02.06.2019 05:00","2319","2205"
"02.06.2019 05:00 - 02.06.2019 05:30","2289","2169"
"02.06.2019 05:30 - 02.06.2019 06:00","2277","2165"
"02.06.2019 06:00 - 02.06.2019 06:30","2229","2143"
"02.06.2019 06:30 - 02.06.2019 07:00","2181","2097"
"02.06.2019 07:00 - 02.06.2019 07:30","2187","2120"
"02.06.2019 07:30 - 02.06.2019 08:00","2224","2164"
"02.06.2019 08:00 - 02.06.2019 08:30","2285","2233"
"02.06.2019 08:30 - 02.06.2019 09:00","2385","2323"
"02.06.2019 09:00 - 02.06.2019 09:30","2513","2488"
"02.06.2019 09:30 - 02.06.2019 10:00","2657","2591"
"02.06.2019 10:00 - 02.06.2019 10:30","2809","2745"
"02.06.2019 10:30 - 02.06.2019 11:00","2944","2863"
"02.06.2019 11:00 - 02.06.2019 11:30","3053","3007"
"02.06.2019 11:30 - 02.06.2019 12:00","3279","3065"
"02.06.2019 12:00 - 02.06.2019 12:30","3348","3105"
"02.06.2019 12:30 - 02.06.2019 13:00","3389","3132"
"02.06.2019 13:00 - 02.06.2019 13:30","3407","3181"
"02.06.2019 13:30 - 02.06.2019 14:00","3467","3186"
"02.06.2019 14:00 - 02.06.2019 14:30","3455","3163"
"02.06.2019 14:30 - 02.06.2019 15:00","3412","3140"
"02.06.2019 15:00 - 02.06.2019 15:30","3339","3090"
"02.06.2019 15:30 - 02.06.2019 16:00","3296","3048"
"02.06.2019 16:00 - 02.06.2019 16:30","3116","3005"
"02.06.2019 16:30 - 02.06.2019 17:00","3085","2997"
"02.06.2019 17:00 - 02.06.2019 17:30","3076","2982"
"02.06.2019 17:30 - 02.06.2019 18:00","3096","3002"
"02.06.2019 18:00 - 02.06.2019 18:30","3243","3042"
"02.06.2019 18:30 - 02.06.2019 19:00","3303","3093"
"02.06.2019 19:00 - 02.06.2019 19:30","3333","3127"
"02.06.2019 19:30 - 02.06.2019 20:00","3317","3114"
"02.06.2019 20:00 - 02.06.2019 20:30","3278","3061"
"02.06.2019 20:30 - 02.06.2019 21:00","3115","2984"
"02.06.2019 21:00 - 02.06.2019 21:30","3081","2949"
"02.06.2019 21:30 - 02.06.2019 22:00","3039","2884"
"02.06.2019 22:00 - 02.06.2019 22:30","2990","2816"
"02.06.2019 22:30 - 02.06.2019 23:00","2971","2784"
"02.06.2019 23:00 - 02.06.2019 23:30","2980","2797"
"02.06.2019 23:30 - 03.06.2019 00:00","2980","2790"
"03.06.2019 00:00 - 03.06.2019 00:30","2887","2687"
"03.06.2019 00:30 - 03.06.2019 01:00","2783","2589"
"03.06.2019 01:00 - 03.06.2019 01:30","2707","2474"
"03.06.2019 01:30 - 03.06.2019 02:00","2658","2443"
"03.06.2019 02:00 - 03.06.2019 02:30","2547","2371"
"03.06.2019 02:30 - 03.06.2019 03:00","2455","2306"
"03.06.2019 03:00 - 03.06.2019 03:30","2382","2262"
"03.06.2019 03:30 - 03.06.2019 04:00","2334","2216"
"03.06.2019 04:00 - 03.06.2019 04:30","2281","2175"
"03.06.2019 04:30 - 03.06.2019 05:00","2257","2179"
"03.06.2019 05:00 - 03.06.2019 05:30","2226","2158"
"03.06.2019 05:30 - 03.06.2019 06:00","2228","2190"
"03.06.2019 06:00 - 03.06.2019 06:30","2173","2132"
"03.06.2019 06:30 - 03.06.2019 07:00","2147","2116"
"03.06.2019 07:00 - 03.06.2019 07:30","2161","2167"
"03.06.2019 07:30 - 03.06.2019 08:00","2209","2245"
"03.06.2019 08:00 - 03.06.2019 08:30","2275","2326"
"03.06.2019 08:30 - 03.06.2019 09:00","2374","2440"
"03.06.2019 09:00 - 03.06.2019 09:30","2488","2563"
"03.06.2019 09:30 - 03.06.2019 10:00","2622","2689"
"03.06.2019 10:00 - 03.06.2019 10:30","2743","2821"
"03.06.2019 10:30 - 03.06.2019 11:00","2850","2888"
"03.06.2019 11:00 - 03.06.2019 11:30","2971","2979"
"03.06.2019 11:30 - 03.06.2019 12:00","3047","3028"
"03.06.2019 12:00 - 03.06.2019 12:30","3117","3116"
"03.06.2019 12:30 - 03.06.2019 13:00","3271","3150"
"03.06.2019 13:00 - 03.06.2019 13:30","3317","3160"
"03.06.2019 13:30 - 03.06.2019 14:00","3359","3213"
"03.06.2019 14:00 - 03.06.2019 14:30","3378","3200"
"03.06.2019 14:30 - 03.06.2019 15:00","3333","3132"
"03.06.2019 15:00 - 03.06.2019 15:30","3286","3099"
"03.06.2019 15:30 - 03.06.2019 16:00","3273","3082"
"03.06.2019 16:00 - 03.06.2019 16:30","3254","3029"
"03.06.2019 16:30 - 03.06.2019 17:00","3254","3081"
"03.06.2019 17:00 - 03.06.2019 17:30","3272","3056"
"03.06.2019 17:30 - 03.06.2019 18:00","3322","3082"
"03.06.2019 18:00 - 03.06.2019 18:30","3397","3147"
"03.06.2019 18:30 - 03.06.2019 19:00","3499","3255"
"03.06.2019 19:00 - 03.06.2019 19:30","3551","3321"
"03.06.2019 19:30 - 03.06.2019 20:00","3523","3300"
"03.06.2019 20:00 - 03.06.2019 20:30","3470","3247"
"03.06.2019 20:30 - 03.06.2019 21:00","3413","3207"
"03.06.2019 21:00 - 03.06.2019 21:30","3342","3160"
"03.06.2019 21:30 - 03.06.2019 22:00","3269","3105"
"03.06.2019 22:00 - 03.06.2019 22:30","3120","3063"
"03.06.2019 22:30 - 03.06.2019 23:00","3084","2984"
"03.06.2019 23:00 - 03.06.2019 23:30","3089","2950"
"03.06.2019 23:30 - 04.06.2019 00:00","3040","2890"
"04.06.2019 00:00 - 04.06.2019 00:30","2944","2757"
"04.06.2019 00:30 - 04.06.2019 01:00","2804","2621"
"04.06.2019 01:00 - 04.06.2019 01:30","2735","2512"
"04.06.2019 01:30 - 04.06.2019 02:00","2650","2438"
"04.06.2019 02:00 - 04.06.2019 02:30","2544","2367"
"04.06.2019 02:30 - 04.06.2019 03:00","2471","2305"
"04.06.2019 03:00 - 04.06.2019 03:30","2406","2255"
"04.06.2019 03:30 - 04.06.2019 04:00","2363","2231"
"04.06.2019 04:00 - 04.06.2019 04:30","2312","2218"
"04.06.2019 04:30 - 04.06.2019 05:00","2299","2206"
"04.06.2019 05:00 - 04.06.2019 05:30","2285","2204"
"04.06.2019 05:30 - 04.06.2019 06:00","2296","2223"
"04.06.2019 06:00 - 04.06.2019 06:30","2274","2227"
"04.06.2019 06:30 - 04.06.2019 07:00","2270","2246"
"04.06.2019 07:00 - 04.06.2019 07:30","2358","2366"
"04.06.2019 07:30 - 04.06.2019 08:00","2528","2556"
"04.06.2019 08:00 - 04.06.2019 08:30","2774","2798"
"04.06.2019 08:30 - 04.06.2019 09:00","3071","3073"
"04.06.2019 09:00 - 04.06.2019 09:30","3466","3326"
"04.06.2019 09:30 - 04.06.2019 10:00","3693","3519"
"04.06.2019 10:00 - 04.06.2019 10:30","3801","3603"
"04.06.2019 10:30 - 04.06.2019 11:00","3877","3657"
"04.06.2019 11:00 - 04.06.2019 11:30","3890","3668"
"04.06.2019 11:30 - 04.06.2019 12:00","3916","3687"
"04.06.2019 12:00 - 04.06.2019 12:30","3932","3705"
"04.06.2019 12:30 - 04.06.2019 13:00","3949","3741"
"04.06.2019 13:00 - 04.06.2019 13:30","3959","3756"
"04.06.2019 13:30 - 04.06.2019 14:00","3986","3789"
"04.06.2019 14:00 - 04.06.2019 14:30","3997","3776"
"04.06.2019 14:30 - 04.06.2019 15:00","3910","3714"
"04.06.2019 15:00 - 04.06.2019 15:30","3899","3705"
"04.06.2019 15:30 - 04.06.2019 16:00","3891","3708"
"04.06.2019 16:00 - 04.06.2019 16:30","3873","3701"
"04.06.2019 16:30 - 04.06.2019 17:00","3895","3719"
"04.06.2019 17:00 - 04.06.2019 17:30","3906","3732"
"04.06.2019 17:30 - 04.06.2019 18:00","3949","3798"
"04.06.2019 18:00 - 04.06.2019 18:30","3992","3822"
"04.06.2019 18:30 - 04.06.2019 19:00","4047","3894"
"04.06.2019 19:00 - 04.06.2019 19:30","4025","3888"
"04.06.2019 19:30 - 04.06.2019 20:00","3941","3811"
"04.06.2019 20:00 - 04.06.2019 20:30","3824","3754"
"04.06.2019 20:30 - 04.06.2019 21:00","3735","3673"
"04.06.2019 21:00 - 04.06.2019 21:30","3664","3617"
"04.06.2019 21:30 - 04.06.2019 22:00","3600","3569"
"04.06.2019 22:00 - 04.06.2019 22:30","3559","3501"
"04.06.2019 22:30 - 04.06.2019 23:00","3484","3403"
"04.06.2019 23:00 - 04.06.2019 23:30","3469","3346"
"04.06.2019 23:30 - 05.06.2019 00:00","3442","3215"
"05.06.2019 00:00 - 05.06.2019 00:30","3264","3024"
"05.06.2019 00:30 - 05.06.2019 01:00","2997","2839"
"05.06.2019 01:00 - 05.06.2019 01:30","2844","2705"
"05.06.2019 01:30 - 05.06.2019 02:00","2748","2672"
"05.06.2019 02:00 - 05.06.2019 02:30","2644","2608"
"05.06.2019 02:30 - 05.06.2019 03:00","2560","2532"
"05.06.2019 03:00 - 05.06.2019 03:30","2481","2479"
"05.06.2019 03:30 - 05.06.2019 04:00","2428","2439"
"05.06.2019 04:00 - 05.06.2019 04:30","2386","2432"
"05.06.2019 04:30 - 05.06.2019 05:00","2365","2383"
"05.06.2019 05:00 - 05.06.2019 05:30","2351","2389"
"05.06.2019 05:30 - 05.06.2019 06:00","2355","2396"
"05.06.2019 06:00 - 05.06.2019 06:30","2318","2402"
"05.06.2019 06:30 - 05.06.2019 07:00","2314","2377"
"05.06.2019 07:00 - 05.06.2019 07:30","2405","2514"
"05.06.2019 07:30 - 05.06.2019 08:00","2590","2716"
"05.06.2019 08:00 - 05.06.2019 08:30","2847","2955"
"05.06.2019 08:30 - 05.06.2019 09:00","3294","3234"
"05.06.2019 09:00 - 05.06.2019 09:30","3586","3428"
"05.06.2019 09:30 - 05.06.2019 10:00","3746","3533"
"05.06.2019 10:00 - 05.06.2019 10:30","3826","3566"
"05.06.2019 10:30 - 05.06.2019 11:00","3894","3606"
"05.06.2019 11:00 - 05.06.2019 11:30","3905","3585"
"05.06.2019 11:30 - 05.06.2019 12:00","3907","3583"
"05.06.2019 12:00 - 05.06.2019 12:30","3939","3643"
"05.06.2019 12:30 - 05.06.2019 13:00","3948","3643"
"05.06.2019 13:00 - 05.06.2019 13:30","3965","3612"
"05.06.2019 13:30 - 05.06.2019 14:00","4005","3624"
"05.06.2019 14:00 - 05.06.2019 14:30","4012","3634"
"05.06.2019 14:30 - 05.06.2019 15:00","3923","3568"
"05.06.2019 15:00 - 05.06.2019 15:30","3915","3569"
"05.06.2019 15:30 - 05.06.2019 16:00","3915","3561"
"05.06.2019 16:00 - 05.06.2019 16:30","3919","3612"
"05.06.2019 16:30 - 05.06.2019 17:00","3941","3625"
"05.06.2019 17:00 - 05.06.2019 17:30","3967","3656"
"05.06.2019 17:30 - 05.06.2019 18:00","3991","3690"
