"Time (CET)","Day-ahead Total Load Forecast [MW] - Cyprus (CY)","Actual Total Load [MW] - Cyprus (CY)"
"02.01.2019 20:30 - 02.01.2019 21:00","N/A","645"
"02.01.2019 21:00 - 02.01.2019 21:30","N/A","625"
"02.01.2019 21:30 - 02.01.2019 22:00","N/A","595"
"02.01.2019 22:00 - 02.01.2019 22:30","N/A","574"
"02.01.2019 22:30 - 02.01.2019 23:00","N/A","545"
"02.01.2019 23:00 - 02.01.2019 23:30","N/A","510"
"02.01.2019 23:30 - 03.01.2019 00:00","N/A","470"
"03.01.2019 00:00 - 03.01.2019 00:30","N/A","434"
"03.01.2019 00:30 - 03.01.2019 01:00","N/A","412"
"03.01.2019 01:00 - 03.01.2019 01:30","N/A","393"
"03.01.2019 01:30 - 03.01.2019 02:00","N/A","379"
"03.01.2019 02:00 - 03.01.2019 02:30","N/A","371"
"03.01.2019 02:30 - 03.01.2019 03:00","N/A","367"
"03.01.2019 03:00 - 03.01.2019 03:30","N/A","362"
"03.01.2019 03:30 - 03.01.2019 04:00","N/A","366"
"03.01.2019 04:00 - 03.01.2019 04:30","N/A","370"
"03.01.2019 04:30 - 03.01.2019 05:00","N/A","384"
"03.01.2019 05:00 - 03.01.2019 05:30","N/A","405"
"03.01.2019 05:30 - 03.01.2019 06:00","N/A","424"
"03.01.2019 06:00 - 03.01.2019 06:30","N/A","459"
"03.01.2019 06:30 - 03.01.2019 07:00","N/A","502"
"03.01.2019 07:00 - 03.01.2019 07:30","N/A","530"
"03.01.2019 07:30 - 03.01.2019 08:00","N/A","546"
"03.01.2019 08:00 - 03.01.2019 08:30","N/A","543"
"03.01.2019 08:30 - 03.01.2019 09:00","N/A","544"
"03.01.2019 09:00 - 03.01.2019 09:30","N/A","529"
"03.01.2019 09:30 - 03.01.2019 10:00","N/A","521"
"03.01.2019 10:00 - 03.01.2019 10:30","N/A","529"
"03.01.2019 10:30 - 03.01.2019 11:00","N/A","541"
"03.01.2019 11:00 - 03.01.2019 11:30","N/A","529"
"03.01.2019 11:30 - 03.01.2019 12:00","N/A","530"
"03.01.2019 12:00 - 03.01.2019 12:30","N/A","545"
"03.01.2019 12:30 - 03.01.2019 13:00","N/A","543"
"03.01.2019 13:00 - 03.01.2019 13:30","N/A","545"
"03.01.2019 13:30 - 03.01.2019 14:00","N/A","559"
"03.01.2019 14:00 - 03.01.2019 14:30","N/A","578"
"03.01.2019 14:30 - 03.01.2019 15:00","N/A","588"
"03.01.2019 15:00 - 03.01.2019 15:30","N/A","590"
"03.01.2019 15:30 - 03.01.2019 16:00","N/A","607"
"03.01.2019 16:00 - 03.01.2019 16:30","N/A","647"
"03.01.2019 16:30 - 03.01.2019 17:00","N/A","693"
"03.01.2019 17:00 - 03.01.2019 17:30","N/A","711"
"03.01.2019 17:30 - 03.01.2019 18:00","N/A","715"
"03.01.2019 18:00 - 03.01.2019 18:30","N/A","716"
"03.01.2019 18:30 - 03.01.2019 19:00","N/A","707"
"03.01.2019 19:00 - 03.01.2019 19:30","N/A","691"
"03.01.2019 19:30 - 03.01.2019 20:00","N/A","679"
"03.01.2019 20:00 - 03.01.2019 20:30","N/A","660"
"03.01.2019 20:30 - 03.01.2019 21:00","N/A","640"
"03.01.2019 21:00 - 03.01.2019 21:30","N/A","621"
"03.01.2019 21:30 - 03.01.2019 22:00","N/A","586"
"03.01.2019 22:00 - 03.01.2019 22:30","N/A","561"
"03.01.2019 22:30 - 03.01.2019 23:00","N/A","536"
"03.01.2019 23:00 - 03.01.2019 23:30","N/A","502"
"03.01.2019 23:30 - 04.01.2019 00:00","N/A","462"
"04.01.2019 00:00 - 04.01.2019 00:30","N/A","426"
"04.01.2019 00:30 - 04.01.2019 01:00","N/A","399"
"04.01.2019 01:00 - 04.01.2019 01:30","N/A","381"
"04.01.2019 01:30 - 04.01.2019 02:00","N/A","368"
"04.01.2019 02:00 - 04.01.2019 02:30","N/A","359"
"04.01.2019 02:30 - 04.01.2019 03:00","N/A","354"
"04.01.2019 03:00 - 04.01.2019 03:30","N/A","351"
"04.01.2019 03:30 - 04.01.2019 04:00","N/A","353"
"04.01.2019 04:00 - 04.01.2019 04:30","N/A","359"
"04.01.2019 04:30 - 04.01.2019 05:00","N/A","372"
"04.01.2019 05:00 - 04.01.2019 05:30","N/A","392"
"04.01.2019 05:30 - 04.01.2019 06:00","N/A","410"
"04.01.2019 06:00 - 04.01.2019 06:30","N/A","447"
"04.01.2019 06:30 - 04.01.2019 07:00","N/A","495"
"04.01.2019 07:00 - 04.01.2019 07:30","N/A","527"
"04.01.2019 07:30 - 04.01.2019 08:00","N/A","559"
"04.01.2019 08:00 - 04.01.2019 08:30","N/A","575"
"04.01.2019 08:30 - 04.01.2019 09:00","N/A","596"
"04.01.2019 09:00 - 04.01.2019 09:30","N/A","608"
"04.01.2019 09:30 - 04.01.2019 10:00","N/A","620"
"04.01.2019 10:00 - 04.01.2019 10:30","N/A","621"
"04.01.2019 10:30 - 04.01.2019 11:00","N/A","627"
"04.01.2019 11:00 - 04.01.2019 11:30","N/A","623"
"04.01.2019 11:30 - 04.01.2019 12:00","N/A","601"
"04.01.2019 12:00 - 04.01.2019 12:30","N/A","597"
"04.01.2019 12:30 - 04.01.2019 13:00","N/A","614"
"04.01.2019 13:00 - 04.01.2019 13:30","N/A","620"
"04.01.2019 13:30 - 04.01.2019 14:00","N/A","623"
"04.01.2019 14:00 - 04.01.2019 14:30","N/A","627"
"04.01.2019 14:30 - 04.01.2019 15:00","N/A","634"
"04.01.2019 15:00 - 04.01.2019 15:30","N/A","637"
"04.01.2019 15:30 - 04.01.2019 16:00","N/A","642"
"04.01.2019 16:00 - 04.01.2019 16:30","N/A","666"
"04.01.2019 16:30 - 04.01.2019 17:00","N/A","703"
"04.01.2019 17:00 - 04.01.2019 17:30","N/A","714"
"04.01.2019 17:30 - 04.01.2019 18:00","N/A","711"
"04.01.2019 18:00 - 04.01.2019 18:30","N/A","705"
"04.01.2019 18:30 - 04.01.2019 19:00","N/A","698"
"04.01.2019 19:00 - 04.01.2019 19:30","N/A","681"
"04.01.2019 19:30 - 04.01.2019 20:00","N/A","663"
"04.01.2019 20:00 - 04.01.2019 20:30","N/A","645"
"04.01.2019 20:30 - 04.01.2019 21:00","N/A","628"
"04.01.2019 21:00 - 04.01.2019 21:30","N/A","608"
"04.01.2019 21:30 - 04.01.2019 22:00","N/A","579"
"04.01.2019 22:00 - 04.01.2019 22:30","N/A","557"
"04.01.2019 22:30 - 04.01.2019 23:00","N/A","535"
"04.01.2019 23:00 - 04.01.2019 23:30","N/A","503"
"04.01.2019 23:30 - 05.01.2019 00:00","N/A","468"
"05.01.2019 00:00 - 05.01.2019 00:30","N/A","435"
"05.01.2019 00:30 - 05.01.2019 01:00","N/A","410"
"05.01.2019 01:00 - 05.01.2019 01:30","N/A","392"
"05.01.2019 01:30 - 05.01.2019 02:00","N/A","378"
"05.01.2019 02:00 - 05.01.2019 02:30","N/A","368"
"05.01.2019 02:30 - 05.01.2019 03:00","N/A","360"
"05.01.2019 03:00 - 05.01.2019 03:30","N/A","355"
"05.01.2019 03:30 - 05.01.2019 04:00","N/A","355"
"05.01.2019 04:00 - 05.01.2019 04:30","N/A","356"
"05.01.2019 04:30 - 05.01.2019 05:00","N/A","364"
"05.01.2019 05:00 - 05.01.2019 05:30","N/A","377"
"05.01.2019 05:30 - 05.01.2019 06:00","N/A","374"
"05.01.2019 06:00 - 05.01.2019 06:30","N/A","391"
"05.01.2019 06:30 - 05.01.2019 07:00","N/A","415"
"05.01.2019 07:00 - 05.01.2019 07:30","N/A","429"
"05.01.2019 07:30 - 05.01.2019 08:00","N/A","441"
"05.01.2019 08:00 - 05.01.2019 08:30","N/A","452"
"05.01.2019 08:30 - 05.01.2019 09:00","N/A","471"
"05.01.2019 09:00 - 05.01.2019 09:30","N/A","483"
"05.01.2019 09:30 - 05.01.2019 10:00","N/A","481"
"05.01.2019 10:00 - 05.01.2019 10:30","N/A","485"
"05.01.2019 10:30 - 05.01.2019 11:00","N/A","486"
"05.01.2019 11:00 - 05.01.2019 11:30","N/A","492"
"05.01.2019 11:30 - 05.01.2019 12:00","N/A","485"
"05.01.2019 12:00 - 05.01.2019 12:30","N/A","482"
"05.01.2019 12:30 - 05.01.2019 13:00","N/A","485"
"05.01.2019 13:00 - 05.01.2019 13:30","N/A","475"
"05.01.2019 13:30 - 05.01.2019 14:00","N/A","469"
"05.01.2019 14:00 - 05.01.2019 14:30","N/A","476"
"05.01.2019 14:30 - 05.01.2019 15:00","N/A","493"
"05.01.2019 15:00 - 05.01.2019 15:30","N/A","505"
"05.01.2019 15:30 - 05.01.2019 16:00","N/A","533"
"05.01.2019 16:00 - 05.01.2019 16:30","N/A","578"
"05.01.2019 16:30 - 05.01.2019 17:00","N/A","629"
"05.01.2019 17:00 - 05.01.2019 17:30","N/A","644"
"05.01.2019 17:30 - 05.01.2019 18:00","N/A","650"
"05.01.2019 18:00 - 05.01.2019 18:30","N/A","651"
"05.01.2019 18:30 - 05.01.2019 19:00","N/A","646"
"05.01.2019 19:00 - 05.01.2019 19:30","N/A","631"
"05.01.2019 19:30 - 05.01.2019 20:00","N/A","622"
"05.01.2019 20:00 - 05.01.2019 20:30","N/A","609"
"05.01.2019 20:30 - 05.01.2019 21:00","N/A","601"
"05.01.2019 21:00 - 05.01.2019 21:30","N/A","587"
"05.01.2019 21:30 - 05.01.2019 22:00","N/A","561"
"05.01.2019 22:00 - 05.01.2019 22:30","N/A","547"
"05.01.2019 22:30 - 05.01.2019 23:00","N/A","531"
"05.01.2019 23:00 - 05.01.2019 23:30","N/A","496"
"05.01.2019 23:30 - 06.01.2019 00:00","N/A","462"
"06.01.2019 00:00 - 06.01.2019 00:30","N/A","431"
"06.01.2019 00:30 - 06.01.2019 01:00","N/A","407"
"06.01.2019 01:00 - 06.01.2019 01:30","N/A","387"
"06.01.2019 01:30 - 06.01.2019 02:00","N/A","373"
"06.01.2019 02:00 - 06.01.2019 02:30","N/A","362"
"06.01.2019 02:30 - 06.01.2019 03:00","N/A","355"
"06.01.2019 03:00 - 06.01.2019 03:30","N/A","351"
"06.01.2019 03:30 - 06.01.2019 04:00","N/A","349"
"06.01.2019 04:00 - 06.01.2019 04:30","N/A","352"
"06.01.2019 04:30 - 06.01.2019 05:00","N/A","354"
"06.01.2019 05:00 - 06.01.2019 05:30","N/A","360"
"06.01.2019 05:30 - 06.01.2019 06:00","N/A","353"
"06.01.2019 06:00 - 06.01.2019 06:30","N/A","366"
"06.01.2019 06:30 - 06.01.2019 07:00","N/A","381"
"06.01.2019 07:00 - 06.01.2019 07:30","N/A","403"
"06.01.2019 07:30 - 06.01.2019 08:00","N/A","412"
"06.01.2019 08:00 - 06.01.2019 08:30","N/A","421"
"06.01.2019 08:30 - 06.01.2019 09:00","N/A","430"
"06.01.2019 09:00 - 06.01.2019 09:30","N/A","449"
"06.01.2019 09:30 - 06.01.2019 10:00","N/A","460"
"06.01.2019 10:00 - 06.01.2019 10:30","N/A","497"
"06.01.2019 10:30 - 06.01.2019 11:00","N/A","522"
"06.01.2019 11:00 - 06.01.2019 11:30","N/A","545"
"06.01.2019 11:30 - 06.01.2019 12:00","N/A","518"
"06.01.2019 12:00 - 06.01.2019 12:30","N/A","503"
"06.01.2019 12:30 - 06.01.2019 13:00","N/A","476"
"06.01.2019 13:00 - 06.01.2019 13:30","N/A","458"
"06.01.2019 13:30 - 06.01.2019 14:00","N/A","458"
"06.01.2019 14:00 - 06.01.2019 14:30","N/A","487"
"06.01.2019 14:30 - 06.01.2019 15:00","N/A","496"
"06.01.2019 15:00 - 06.01.2019 15:30","N/A","509"
"06.01.2019 15:30 - 06.01.2019 16:00","N/A","527"
"06.01.2019 16:00 - 06.01.2019 16:30","N/A","567"
"06.01.2019 16:30 - 06.01.2019 17:00","N/A","626"
"06.01.2019 17:00 - 06.01.2019 17:30","N/A","656"
"06.01.2019 17:30 - 06.01.2019 18:00","N/A","675"
"06.01.2019 18:00 - 06.01.2019 18:30","N/A","682"
"06.01.2019 18:30 - 06.01.2019 19:00","N/A","682"
"06.01.2019 19:00 - 06.01.2019 19:30","N/A","674"
"06.01.2019 19:30 - 06.01.2019 20:00","N/A","672"
"06.01.2019 20:00 - 06.01.2019 20:30","N/A","663"
"06.01.2019 20:30 - 06.01.2019 21:00","N/A","648"
"06.01.2019 21:00 - 06.01.2019 21:30","N/A","624"
"06.01.2019 21:30 - 06.01.2019 22:00","N/A","590"
"06.01.2019 22:00 - 06.01.2019 22:30","N/A","562"
"06.01.2019 22:30 - 06.01.2019 23:00","N/A","532"
"06.01.2019 23:00 - 06.01.2019 23:30","N/A","495"
"06.01.2019 23:30 - 07.01.2019 00:00","N/A","455"
"07.01.2019 00:00 - 07.01.2019 00:30","N/A","424"
"07.01.2019 00:30 - 07.01.2019 01:00","N/A","402"
"07.01.2019 01:00 - 07.01.2019 01:30","N/A","386"
"07.01.2019 01:30 - 07.01.2019 02:00","N/A","375"
"07.01.2019 02:00 - 07.01.2019 02:30","N/A","365"
"07.01.2019 02:30 - 07.01.2019 03:00","N/A","359"
"07.01.2019 03:00 - 07.01.2019 03:30","N/A","357"
"07.01.2019 03:30 - 07.01.2019 04:00","N/A","362"
"07.01.2019 04:00 - 07.01.2019 04:30","N/A","370"
"07.01.2019 04:30 - 07.01.2019 05:00","N/A","389"
"07.01.2019 05:00 - 07.01.2019 05:30","N/A","425"
"07.01.2019 05:30 - 07.01.2019 06:00","N/A","471"
"07.01.2019 06:00 - 07.01.2019 06:30","N/A","519"
"07.01.2019 06:30 - 07.01.2019 07:00","N/A","545"
"07.01.2019 07:00 - 07.01.2019 07:30","N/A","563"
"07.01.2019 07:30 - 07.01.2019 08:00","N/A","N/A"
"07.01.2019 08:00 - 07.01.2019 08:30","N/A","563"
"07.01.2019 08:30 - 07.01.2019 09:00","N/A","554"
"07.01.2019 09:00 - 07.01.2019 09:30","N/A","567"
"07.01.2019 09:30 - 07.01.2019 10:00","N/A","567"
"07.01.2019 10:00 - 07.01.2019 10:30","N/A","582"
"07.01.2019 10:30 - 07.01.2019 11:00","N/A","613"
"07.01.2019 11:00 - 07.01.2019 11:30","N/A","633"
"07.01.2019 11:30 - 07.01.2019 12:00","N/A","649"
"07.01.2019 12:00 - 07.01.2019 12:30","N/A","655"
"07.01.2019 12:30 - 07.01.2019 13:00","N/A","659"
"07.01.2019 13:00 - 07.01.2019 13:30","N/A","650"
"07.01.2019 13:30 - 07.01.2019 14:00","N/A","647"
"07.01.2019 14:00 - 07.01.2019 14:30","N/A","648"
"07.01.2019 14:30 - 07.01.2019 15:00","N/A","658"
"07.01.2019 15:00 - 07.01.2019 15:30","N/A","677"
"07.01.2019 15:30 - 07.01.2019 16:00","N/A","686"
"07.01.2019 16:00 - 07.01.2019 16:30","N/A","709"
"07.01.2019 16:30 - 07.01.2019 17:00","N/A","758"
"07.01.2019 17:00 - 07.01.2019 17:30","N/A","777"
"07.01.2019 17:30 - 07.01.2019 18:00","N/A","785"
"07.01.2019 18:00 - 07.01.2019 18:30","N/A","790"
"07.01.2019 18:30 - 07.01.2019 19:00","N/A","783"
"07.01.2019 19:00 - 07.01.2019 19:30","N/A","775"
"07.01.2019 19:30 - 07.01.2019 20:00","N/A","762"
"07.01.2019 20:00 - 07.01.2019 20:30","N/A","743"
"07.01.2019 20:30 - 07.01.2019 21:00","N/A","727"
"07.01.2019 21:00 - 07.01.2019 21:30","N/A","697"
"07.01.2019 21:30 - 07.01.2019 22:00","N/A","651"
"07.01.2019 22:00 - 07.01.2019 22:30","N/A","617"
"07.01.2019 22:30 - 07.01.2019 23:00","N/A","576"
"07.01.2019 23:00 - 07.01.2019 23:30","N/A","536"
"07.01.2019 23:30 - 08.01.2019 00:00","N/A","491"
"08.01.2019 00:00 - 08.01.2019 00:30","N/A","457"
"08.01.2019 00:30 - 08.01.2019 01:00","N/A","431"
"08.01.2019 01:00 - 08.01.2019 01:30","N/A","416"
"08.01.2019 01:30 - 08.01.2019 02:00","N/A","402"
"08.01.2019 02:00 - 08.01.2019 02:30","N/A","392"
"08.01.2019 02:30 - 08.01.2019 03:00","N/A","388"
"08.01.2019 03:00 - 08.01.2019 03:30","N/A","384"
"08.01.2019 03:30 - 08.01.2019 04:00","N/A","386"
"08.01.2019 04:00 - 08.01.2019 04:30","N/A","393"
"08.01.2019 04:30 - 08.01.2019 05:00","N/A","413"
"08.01.2019 05:00 - 08.01.2019 05:30","N/A","448"
"08.01.2019 05:30 - 08.01.2019 06:00","N/A","503"
"08.01.2019 06:00 - 08.01.2019 06:30","N/A","545"
"08.01.2019 06:30 - 08.01.2019 07:00","N/A","571"
"08.01.2019 07:00 - 08.01.2019 07:30","N/A","613"
"08.01.2019 07:30 - 08.01.2019 08:00","N/A","653"
"08.01.2019 08:00 - 08.01.2019 08:30","N/A","663"
"08.01.2019 08:30 - 08.01.2019 09:00","N/A","680"
"08.01.2019 09:00 - 08.01.2019 09:30","N/A","678"
"08.01.2019 09:30 - 08.01.2019 10:00","N/A","686"
"08.01.2019 10:00 - 08.01.2019 10:30","N/A","698"
"08.01.2019 10:30 - 08.01.2019 11:00","N/A","685"
"08.01.2019 11:00 - 08.01.2019 11:30","N/A","678"
"08.01.2019 11:30 - 08.01.2019 12:00","N/A","683"
"08.01.2019 12:00 - 08.01.2019 12:30","N/A","667"
"08.01.2019 12:30 - 08.01.2019 13:00","N/A","666"
"08.01.2019 13:00 - 08.01.2019 13:30","N/A","673"
"08.01.2019 13:30 - 08.01.2019 14:00","N/A","667"
"08.01.2019 14:00 - 08.01.2019 14:30","N/A","675"
"08.01.2019 14:30 - 08.01.2019 15:00","N/A","682"
"08.01.2019 15:00 - 08.01.2019 15:30","N/A","686"
"08.01.2019 15:30 - 08.01.2019 16:00","N/A","703"
"08.01.2019 16:00 - 08.01.2019 16:30","N/A","742"
"08.01.2019 16:30 - 08.01.2019 17:00","N/A","805"
"08.01.2019 17:00 - 08.01.2019 17:30","N/A","826"
"08.01.2019 17:30 - 08.01.2019 18:00","N/A","842"
"08.01.2019 18:00 - 08.01.2019 18:30","N/A","844"
"08.01.2019 18:30 - 08.01.2019 19:00","N/A","838"
"08.01.2019 19:00 - 08.01.2019 19:30","N/A","827"
"08.01.2019 19:30 - 08.01.2019 20:00","N/A","812"
"08.01.2019 20:00 - 08.01.2019 20:30","N/A","793"
"08.01.2019 20:30 - 08.01.2019 21:00","N/A","772"
"08.01.2019 21:00 - 08.01.2019 21:30","N/A","736"
"08.01.2019 21:30 - 08.01.2019 22:00","N/A","692"
"08.01.2019 22:00 - 08.01.2019 22:30","N/A","659"
"08.01.2019 22:30 - 08.01.2019 23:00","N/A","617"
"08.01.2019 23:00 - 08.01.2019 23:30","N/A","571"
"08.01.2019 23:30 - 09.01.2019 00:00","N/A","526"
"09.01.2019 00:00 - 09.01.2019 00:30","N/A","493"
"09.01.2019 00:30 - 09.01.2019 01:00","N/A","463"
"09.01.2019 01:00 - 09.01.2019 01:30","N/A","442"
"09.01.2019 01:30 - 09.01.2019 02:00","N/A","427"
"09.01.2019 02:00 - 09.01.2019 02:30","N/A","417"
"09.01.2019 02:30 - 09.01.2019 03:00","N/A","412"
"09.01.2019 03:00 - 09.01.2019 03:30","N/A","407"
"09.01.2019 03:30 - 09.01.2019 04:00","N/A","410"
"09.01.2019 04:00 - 09.01.2019 04:30","N/A","418"
"09.01.2019 04:30 - 09.01.2019 05:00","N/A","435"
"09.01.2019 05:00 - 09.01.2019 05:30","N/A","474"
"09.01.2019 05:30 - 09.01.2019 06:00","N/A","524"
"09.01.2019 06:00 - 09.01.2019 06:30","N/A","576"
"09.01.2019 06:30 - 09.01.2019 07:00","N/A","599"
"09.01.2019 07:00 - 09.01.2019 07:30","N/A","626"
"09.01.2019 07:30 - 09.01.2019 08:00","N/A","641"
"09.01.2019 08:00 - 09.01.2019 08:30","N/A","638"
"09.01.2019 08:30 - 09.01.2019 09:00","N/A","635"
"09.01.2019 09:00 - 09.01.2019 09:30","N/A","628"
"09.01.2019 09:30 - 09.01.2019 10:00","N/A","621"
"09.01.2019 10:00 - 09.01.2019 10:30","N/A","621"
"09.01.2019 10:30 - 09.01.2019 11:00","N/A","619"
"09.01.2019 11:00 - 09.01.2019 11:30","N/A","619"
"09.01.2019 11:30 - 09.01.2019 12:00","N/A","613"
"09.01.2019 12:00 - 09.01.2019 12:30","N/A","600"
"09.01.2019 12:30 - 09.01.2019 13:00","N/A","599"
"09.01.2019 13:00 - 09.01.2019 13:30","N/A","603"
"09.01.2019 13:30 - 09.01.2019 14:00","N/A","610"
"09.01.2019 14:00 - 09.01.2019 14:30","N/A","623"
"09.01.2019 14:30 - 09.01.2019 15:00","N/A","633"
"09.01.2019 15:00 - 09.01.2019 15:30","N/A","643"
"09.01.2019 15:30 - 09.01.2019 16:00","N/A","665"
"09.01.2019 16:00 - 09.01.2019 16:30","N/A","713"
"09.01.2019 16:30 - 09.01.2019 17:00","N/A","783"
"09.01.2019 17:00 - 09.01.2019 17:30","N/A","814"
"09.01.2019 17:30 - 09.01.2019 18:00","N/A","829"
"09.01.2019 18:00 - 09.01.2019 18:30","N/A","833"
"09.01.2019 18:30 - 09.01.2019 19:00","N/A","830"
"09.01.2019 19:00 - 09.01.2019 19:30","N/A","818"
"09.01.2019 19:30 - 09.01.2019 20:00","N/A","806"
"09.01.2019 20:00 - 09.01.2019 20:30","N/A","786"
"09.01.2019 20:30 - 09.01.2019 21:00","N/A","769"
"09.01.2019 21:00 - 09.01.2019 21:30","N/A","738"
"09.01.2019 21:30 - 09.01.2019 22:00","N/A","693"
"09.01.2019 22:00 - 09.01.2019 22:30","N/A","655"
"09.01.2019 22:30 - 09.01.2019 23:00","N/A","619"
"09.01.2019 23:00 - 09.01.2019 23:30","N/A","572"
"09.01.2019 23:30 - 10.01.2019 00:00","N/A","524"
"10.01.2019 00:00 - 10.01.2019 00:30","N/A","494"
