"Time (CET)","Germany (DE) > Denmark (DK) [MW]","Denmark (DK) > Germany (DE) [MW]"
"02.01.2018 22:00 - 02.01.2018 23:00","1693","0"
"02.01.2018 23:00 - 03.01.2018 00:00","2085","0"
"03.01.2018 00:00 - 03.01.2018 01:00","2171","0"
"03.01.2018 01:00 - 03.01.2018 02:00","2095","0"
"03.01.2018 02:00 - 03.01.2018 03:00","2051","0"
"03.01.2018 03:00 - 03.01.2018 04:00","2098","0"
"03.01.2018 04:00 - 03.01.2018 05:00","2056","0"
"03.01.2018 05:00 - 03.01.2018 06:00","2089","0"
"03.01.2018 06:00 - 03.01.2018 07:00","2045","0"
"03.01.2018 07:00 - 03.01.2018 08:00","2141","0"
"03.01.2018 08:00 - 03.01.2018 09:00","2054","0"
"03.01.2018 09:00 - 03.01.2018 10:00","2127","0"
"03.01.2018 10:00 - 03.01.2018 11:00","2095","0"
"03.01.2018 11:00 - 03.01.2018 12:00","1995","0"
"03.01.2018 12:00 - 03.01.2018 13:00","2050","0"
"03.01.2018 13:00 - 03.01.2018 14:00","2116","0"
"03.01.2018 14:00 - 03.01.2018 15:00","2112","0"
"03.01.2018 15:00 - 03.01.2018 16:00","2104","0"
"03.01.2018 16:00 - 03.01.2018 17:00","2097","0"
"03.01.2018 17:00 - 03.01.2018 18:00","2092","0"
"03.01.2018 18:00 - 03.01.2018 19:00","2075","0"
"03.01.2018 19:00 - 03.01.2018 20:00","2095","0"
"03.01.2018 20:00 - 03.01.2018 21:00","2089","0"
"03.01.2018 21:00 - 03.01.2018 22:00","2090","0"
"03.01.2018 22:00 - 03.01.2018 23:00","2055","0"
"03.01.2018 23:00 - 04.01.2018 00:00","2045","0"
"04.01.2018 00:00 - 04.01.2018 01:00","2103","0"
"04.01.2018 01:00 - 04.01.2018 02:00","2019","0"
"04.01.2018 02:00 - 04.01.2018 03:00","2057","0"
"04.01.2018 03:00 - 04.01.2018 04:00","2094","0"
"04.01.2018 04:00 - 04.01.2018 05:00","2051","0"
"04.01.2018 05:00 - 04.01.2018 06:00","2070","0"
"04.01.2018 06:00 - 04.01.2018 07:00","1798","0"
"04.01.2018 07:00 - 04.01.2018 08:00","567","0"
"04.01.2018 08:00 - 04.01.2018 09:00","0","766"
"04.01.2018 09:00 - 04.01.2018 10:00","0","1375"
"04.01.2018 10:00 - 04.01.2018 11:00","0","1758"
"04.01.2018 11:00 - 04.01.2018 12:00","0","1820"
"04.01.2018 12:00 - 04.01.2018 13:00","0","1861"
"04.01.2018 13:00 - 04.01.2018 14:00","0","1898"
"04.01.2018 14:00 - 04.01.2018 15:00","0","1856"
"04.01.2018 15:00 - 04.01.2018 16:00","0","1678"
"04.01.2018 16:00 - 04.01.2018 17:00","0","1355"
"04.01.2018 17:00 - 04.01.2018 18:00","0","858"
"04.01.2018 18:00 - 04.01.2018 19:00","0","1014"
"04.01.2018 19:00 - 04.01.2018 20:00","0","1315"
"04.01.2018 20:00 - 04.01.2018 21:00","0","1158"
"04.01.2018 21:00 - 04.01.2018 22:00","130","0"
"04.01.2018 22:00 - 04.01.2018 23:00","221","0"
"04.01.2018 23:00 - 05.01.2018 00:00","1317","0"
"05.01.2018 00:00 - 05.01.2018 01:00","2032","0"
"05.01.2018 01:00 - 05.01.2018 02:00","2093","0"
"05.01.2018 02:00 - 05.01.2018 03:00","2076","0"
"05.01.2018 03:00 - 05.01.2018 04:00","2091","0"
"05.01.2018 04:00 - 05.01.2018 05:00","2086","0"
"05.01.2018 05:00 - 05.01.2018 06:00","2089","0"
"05.01.2018 06:00 - 05.01.2018 07:00","2058","0"
"05.01.2018 07:00 - 05.01.2018 08:00","786","0"
"05.01.2018 08:00 - 05.01.2018 09:00","231","0"
"05.01.2018 09:00 - 05.01.2018 10:00","0","501"
"05.01.2018 10:00 - 05.01.2018 11:00","0","960"
"05.01.2018 11:00 - 05.01.2018 12:00","0","1159"
"05.01.2018 12:00 - 05.01.2018 13:00","0","1421"
"05.01.2018 13:00 - 05.01.2018 14:00","0","1818"
"05.01.2018 14:00 - 05.01.2018 15:00","0","1866"
"05.01.2018 15:00 - 05.01.2018 16:00","0","1857"
"05.01.2018 16:00 - 05.01.2018 17:00","0","1495"
"05.01.2018 17:00 - 05.01.2018 18:00","0","1324"
"05.01.2018 18:00 - 05.01.2018 19:00","0","1471"
"05.01.2018 19:00 - 05.01.2018 20:00","0","1685"
"05.01.2018 20:00 - 05.01.2018 21:00","0","1424"
"05.01.2018 21:00 - 05.01.2018 22:00","0","1311"
"05.01.2018 22:00 - 05.01.2018 23:00","0","1739"
"05.01.2018 23:00 - 06.01.2018 00:00","0","1811"
"06.01.2018 00:00 - 06.01.2018 01:00","0","1356"
"06.01.2018 01:00 - 06.01.2018 02:00","0","155"
"06.01.2018 02:00 - 06.01.2018 03:00","994","0"
"06.01.2018 03:00 - 06.01.2018 04:00","1999","0"
"06.01.2018 04:00 - 06.01.2018 05:00","1391","0"
"06.01.2018 05:00 - 06.01.2018 06:00","267","0"
"06.01.2018 06:00 - 06.01.2018 07:00","0","824"
"06.01.2018 07:00 - 06.01.2018 08:00","0","1531"
"06.01.2018 08:00 - 06.01.2018 09:00","0","1530"
"06.01.2018 09:00 - 06.01.2018 10:00","0","2008"
"06.01.2018 10:00 - 06.01.2018 11:00","0","2071"
"06.01.2018 11:00 - 06.01.2018 12:00","0","2095"
"06.01.2018 12:00 - 06.01.2018 13:00","0","2102"
"06.01.2018 13:00 - 06.01.2018 14:00","0","2102"
"06.01.2018 14:00 - 06.01.2018 15:00","0","2100"
"06.01.2018 15:00 - 06.01.2018 16:00","0","2091"
"06.01.2018 16:00 - 06.01.2018 17:00","0","2031"
"06.01.2018 17:00 - 06.01.2018 18:00","0","2018"
"06.01.2018 18:00 - 06.01.2018 19:00","0","2026"
"06.01.2018 19:00 - 06.01.2018 20:00","0","2003"
"06.01.2018 20:00 - 06.01.2018 21:00","0","1782"
"06.01.2018 21:00 - 06.01.2018 22:00","0","1697"
"06.01.2018 22:00 - 06.01.2018 23:00","0","1024"
"06.01.2018 23:00 - 07.01.2018 00:00","0","747"
"07.01.2018 00:00 - 07.01.2018 01:00","544","0"
"07.01.2018 01:00 - 07.01.2018 02:00","1255","0"
"07.01.2018 02:00 - 07.01.2018 03:00","1852","0"
"07.01.2018 03:00 - 07.01.2018 04:00","2076","0"
"07.01.2018 04:00 - 07.01.2018 05:00","2080","0"
"07.01.2018 05:00 - 07.01.2018 06:00","2092","0"
"07.01.2018 06:00 - 07.01.2018 07:00","2092","0"
"07.01.2018 07:00 - 07.01.2018 08:00","2086","0"
"07.01.2018 08:00 - 07.01.2018 09:00","2077","0"
"07.01.2018 09:00 - 07.01.2018 10:00","2017","0"
"07.01.2018 10:00 - 07.01.2018 11:00","1990","0"
"07.01.2018 11:00 - 07.01.2018 12:00","1571","0"
"07.01.2018 12:00 - 07.01.2018 13:00","1062","0"
"07.01.2018 13:00 - 07.01.2018 14:00","1582","0"
"07.01.2018 14:00 - 07.01.2018 15:00","2073","0"
"07.01.2018 15:00 - 07.01.2018 16:00","2078","0"
"07.01.2018 16:00 - 07.01.2018 17:00","1499","0"
"07.01.2018 17:00 - 07.01.2018 18:00","0","235"
"07.01.2018 18:00 - 07.01.2018 19:00","0","1113"
"07.01.2018 19:00 - 07.01.2018 20:00","0","1291"
"07.01.2018 20:00 - 07.01.2018 21:00","0","1309"
"07.01.2018 21:00 - 07.01.2018 22:00","0","224"
"07.01.2018 22:00 - 07.01.2018 23:00","0","615"
"07.01.2018 23:00 - 08.01.2018 00:00","593","0"
"08.01.2018 00:00 - 08.01.2018 01:00","1258","0"
"08.01.2018 01:00 - 08.01.2018 02:00","1982","0"
"08.01.2018 02:00 - 08.01.2018 03:00","2089","0"
"08.01.2018 03:00 - 08.01.2018 04:00","2089","0"
"08.01.2018 04:00 - 08.01.2018 05:00","2082","0"
"08.01.2018 05:00 - 08.01.2018 06:00","1927","0"
"08.01.2018 06:00 - 08.01.2018 07:00","365","0"
"08.01.2018 07:00 - 08.01.2018 08:00","17","0"
"08.01.2018 08:00 - 08.01.2018 09:00","0","640"
"08.01.2018 09:00 - 08.01.2018 10:00","0","1048"
"08.01.2018 10:00 - 08.01.2018 11:00","0","1332"
"08.01.2018 11:00 - 08.01.2018 12:00","0","1367"
"08.01.2018 12:00 - 08.01.2018 13:00","0","1460"
"08.01.2018 13:00 - 08.01.2018 14:00","0","1313"
"08.01.2018 14:00 - 08.01.2018 15:00","0","1109"
"08.01.2018 15:00 - 08.01.2018 16:00","0","911"
"08.01.2018 16:00 - 08.01.2018 17:00","0","556"
"08.01.2018 17:00 - 08.01.2018 18:00","0","570"
"08.01.2018 18:00 - 08.01.2018 19:00","0","819"
"08.01.2018 19:00 - 08.01.2018 20:00","90","0"
"08.01.2018 20:00 - 08.01.2018 21:00","1338","0"
"08.01.2018 21:00 - 08.01.2018 22:00","1467","0"
"08.01.2018 22:00 - 08.01.2018 23:00","1518","0"
"08.01.2018 23:00 - 09.01.2018 00:00","2055","0"
"09.01.2018 00:00 - 09.01.2018 01:00","2042","0"
"09.01.2018 01:00 - 09.01.2018 02:00","2073","0"
"09.01.2018 02:00 - 09.01.2018 03:00","1849","0"
"09.01.2018 03:00 - 09.01.2018 04:00","1790","0"
"09.01.2018 04:00 - 09.01.2018 05:00","1501","0"
"09.01.2018 05:00 - 09.01.2018 06:00","1571","0"
"09.01.2018 06:00 - 09.01.2018 07:00","980","0"
"09.01.2018 07:00 - 09.01.2018 08:00","0","218"
"09.01.2018 08:00 - 09.01.2018 09:00","0","242"
"09.01.2018 09:00 - 09.01.2018 10:00","0","0"
"09.01.2018 10:00 - 09.01.2018 11:00","0","16"
"09.01.2018 11:00 - 09.01.2018 12:00","0","66"
"09.01.2018 12:00 - 09.01.2018 13:00","0","63"
"09.01.2018 13:00 - 09.01.2018 14:00","0","213"
"09.01.2018 14:00 - 09.01.2018 15:00","0","272"
"09.01.2018 15:00 - 09.01.2018 16:00","0","385"
"09.01.2018 16:00 - 09.01.2018 17:00","0","587"
"09.01.2018 17:00 - 09.01.2018 18:00","0","751"
"09.01.2018 18:00 - 09.01.2018 19:00","0","1222"
"09.01.2018 19:00 - 09.01.2018 20:00","0","1187"
"09.01.2018 20:00 - 09.01.2018 21:00","0","1205"
"09.01.2018 21:00 - 09.01.2018 22:00","0","1631"
"09.01.2018 22:00 - 09.01.2018 23:00","0","1845"
"09.01.2018 23:00 - 10.01.2018 00:00","0","2034"
"10.01.2018 00:00 - 10.01.2018 01:00","0","1962"
"10.01.2018 01:00 - 10.01.2018 02:00","0","1169"
"10.01.2018 02:00 - 10.01.2018 03:00","0","50"
"10.01.2018 03:00 - 10.01.2018 04:00","170","0"
"10.01.2018 04:00 - 10.01.2018 05:00","158","0"
"10.01.2018 05:00 - 10.01.2018 06:00","0","1116"
"10.01.2018 06:00 - 10.01.2018 07:00","0","1835"
"10.01.2018 07:00 - 10.01.2018 08:00","0","1672"
"10.01.2018 08:00 - 10.01.2018 09:00","0","1275"
"10.01.2018 09:00 - 10.01.2018 10:00","0","1106"
"10.01.2018 10:00 - 10.01.2018 11:00","0","801"
"10.01.2018 11:00 - 10.01.2018 12:00","0","1273"
"10.01.2018 12:00 - 10.01.2018 13:00","0","792"
"10.01.2018 13:00 - 10.01.2018 14:00","0","889"
"10.01.2018 14:00 - 10.01.2018 15:00","0","1314"
"10.01.2018 15:00 - 10.01.2018 16:00","0","1775"
"10.01.2018 16:00 - 10.01.2018 17:00","0","990"
"10.01.2018 17:00 - 10.01.2018 18:00","0","292"
"10.01.2018 18:00 - 10.01.2018 19:00","0","871"
"10.01.2018 19:00 - 10.01.2018 20:00","0","1751"
"10.01.2018 20:00 - 10.01.2018 21:00","0","1867"
"10.01.2018 21:00 - 10.01.2018 22:00","0","2015"
"10.01.2018 22:00 - 10.01.2018 23:00","0","2028"
"10.01.2018 23:00 - 11.01.2018 00:00","0","2030"
"11.01.2018 00:00 - 11.01.2018 01:00","0","2046"
"11.01.2018 01:00 - 11.01.2018 02:00","0","2068"
"11.01.2018 02:00 - 11.01.2018 03:00","0","2085"
"11.01.2018 03:00 - 11.01.2018 04:00","0","2094"
"11.01.2018 04:00 - 11.01.2018 05:00","0","2075"
"11.01.2018 05:00 - 11.01.2018 06:00","0","2069"
"11.01.2018 06:00 - 11.01.2018 07:00","0","2004"
"11.01.2018 07:00 - 11.01.2018 08:00","0","1706"
"11.01.2018 08:00 - 11.01.2018 09:00","0","1544"
"11.01.2018 09:00 - 11.01.2018 10:00","0","1742"
"11.01.2018 10:00 - 11.01.2018 11:00","0","1881"
"11.01.2018 11:00 - 11.01.2018 12:00","0","2000"
"11.01.2018 12:00 - 11.01.2018 13:00","0","1648"
"11.01.2018 13:00 - 11.01.2018 14:00","0","1467"
"11.01.2018 14:00 - 11.01.2018 15:00","0","1693"
"11.01.2018 15:00 - 11.01.2018 16:00","0","1584"
"11.01.2018 16:00 - 11.01.2018 17:00","0","1308"
"11.01.2018 17:00 - 11.01.2018 18:00","0","1387"
"11.01.2018 18:00 - 11.01.2018 19:00","0","1621"
"11.01.2018 19:00 - 11.01.2018 20:00","0","2034"
"11.01.2018 20:00 - 11.01.2018 21:00","0","2068"
"11.01.2018 21:00 - 11.01.2018 22:00","0","2088"
"11.01.2018 22:00 - 11.01.2018 23:00","0","2124"
"11.01.2018 23:00 - 12.01.2018 00:00","0","2075"
"12.01.2018 00:00 - 12.01.2018 01:00","0","1978"
"12.01.2018 01:00 - 12.01.2018 02:00","0","1930"
"12.01.2018 02:00 - 12.01.2018 03:00","0","1821"
"12.01.2018 03:00 - 12.01.2018 04:00","0","1893"
"12.01.2018 04:00 - 12.01.2018 05:00","0","1799"
"12.01.2018 05:00 - 12.01.2018 06:00","0","1983"
"12.01.2018 06:00 - 12.01.2018 07:00","0","1946"
"12.01.2018 07:00 - 12.01.2018 08:00","0","1837"
"12.01.2018 08:00 - 12.01.2018 09:00","0","1279"
"12.01.2018 09:00 - 12.01.2018 10:00","0","1081"
"12.01.2018 10:00 - 12.01.2018 11:00","0","1677"
"12.01.2018 11:00 - 12.01.2018 12:00","0","1858"
"12.01.2018 12:00 - 12.01.2018 13:00","0","1943"
"12.01.2018 13:00 - 12.01.2018 14:00","0","1877"
"12.01.2018 14:00 - 12.01.2018 15:00","0","1722"
"12.01.2018 15:00 - 12.01.2018 16:00","0","1598"
"12.01.2018 16:00 - 12.01.2018 17:00","0","1550"
"12.01.2018 17:00 - 12.01.2018 18:00","0","1486"
"12.01.2018 18:00 - 12.01.2018 19:00","0","1793"
"12.01.2018 19:00 - 12.01.2018 20:00","0","1917"
"12.01.2018 20:00 - 12.01.2018 21:00","0","1962"
"12.01.2018 21:00 - 12.01.2018 22:00","0","1953"
"12.01.2018 22:00 - 12.01.2018 23:00","0","1973"
"12.01.2018 23:00 - 13.01.2018 00:00","0","1958"
"13.01.2018 00:00 - 13.01.2018 01:00","0","1939"
"13.01.2018 01:00 - 13.01.2018 02:00","0","1889"
"13.01.2018 02:00 - 13.01.2018 03:00","0","1966"
"13.01.2018 03:00 - 13.01.2018 04:00","0","1544"
"13.01.2018 04:00 - 13.01.2018 05:00","0","287"
"13.01.2018 05:00 - 13.01.2018 06:00","0","506"
"13.01.2018 06:00 - 13.01.2018 07:00","0","743"
"13.01.2018 07:00 - 13.01.2018 08:00","0","1907"
"13.01.2018 08:00 - 13.01.2018 09:00","0","1958"
"13.01.2018 09:00 - 13.01.2018 10:00","0","1959"
"13.01.2018 10:00 - 13.01.2018 11:00","0","1943"
"13.01.2018 11:00 - 13.01.2018 12:00","0","1936"
"13.01.2018 12:00 - 13.01.2018 13:00","0","1952"
"13.01.2018 13:00 - 13.01.2018 14:00","0","1953"
"13.01.2018 14:00 - 13.01.2018 15:00","0","1949"
"13.01.2018 15:00 - 13.01.2018 16:00","0","1972"
"13.01.2018 16:00 - 13.01.2018 17:00","0","1843"
"13.01.2018 17:00 - 13.01.2018 18:00","0","1708"
"13.01.2018 18:00 - 13.01.2018 19:00","0","1895"
"13.01.2018 19:00 - 13.01.2018 20:00","0","1766"
"13.01.2018 20:00 - 13.01.2018 21:00","0","984"
"13.01.2018 21:00 - 13.01.2018 22:00","227","0"
"13.01.2018 22:00 - 13.01.2018 23:00","0","167"
"13.01.2018 23:00 - 14.01.2018 00:00","570","0"
"14.01.2018 00:00 - 14.01.2018 01:00","1620","0"
"14.01.2018 01:00 - 14.01.2018 02:00","1736","0"
"14.01.2018 02:00 - 14.01.2018 03:00","1970","0"
"14.01.2018 03:00 - 14.01.2018 04:00","2036","0"
"14.01.2018 04:00 - 14.01.2018 05:00","2105","0"
"14.01.2018 05:00 - 14.01.2018 06:00","2109","0"
"14.01.2018 06:00 - 14.01.2018 07:00","2070","0"
"14.01.2018 07:00 - 14.01.2018 08:00","2083","0"
"14.01.2018 08:00 - 14.01.2018 09:00","2048","0"
"14.01.2018 09:00 - 14.01.2018 10:00","978","0"
"14.01.2018 10:00 - 14.01.2018 11:00","541","0"
"14.01.2018 11:00 - 14.01.2018 12:00","0","1152"
"14.01.2018 12:00 - 14.01.2018 13:00","0","674"
"14.01.2018 13:00 - 14.01.2018 14:00","91","0"
"14.01.2018 14:00 - 14.01.2018 15:00","0","977"
"14.01.2018 15:00 - 14.01.2018 16:00","0","1509"
"14.01.2018 16:00 - 14.01.2018 17:00","0","1887"
"14.01.2018 17:00 - 14.01.2018 18:00","0","1911"
"14.01.2018 18:00 - 14.01.2018 19:00","0","1820"
"14.01.2018 19:00 - 14.01.2018 20:00","0","1440"
"14.01.2018 20:00 - 14.01.2018 21:00","0","1406"
"14.01.2018 21:00 - 14.01.2018 22:00","0","1162"
"14.01.2018 22:00 - 14.01.2018 23:00","0","1176"
"14.01.2018 23:00 - 15.01.2018 00:00","0","1076"
"15.01.2018 00:00 - 15.01.2018 01:00","250","0"
"15.01.2018 01:00 - 15.01.2018 02:00","933","0"
"15.01.2018 02:00 - 15.01.2018 03:00","779","0"
"15.01.2018 03:00 - 15.01.2018 04:00","1199","0"
"15.01.2018 04:00 - 15.01.2018 05:00","1140","0"
"15.01.2018 05:00 - 15.01.2018 06:00","341","0"
"15.01.2018 06:00 - 15.01.2018 07:00","0","706"
"15.01.2018 07:00 - 15.01.2018 08:00","0","172"
"15.01.2018 08:00 - 15.01.2018 09:00","0","127"
"15.01.2018 09:00 - 15.01.2018 10:00","4","0"
"15.01.2018 10:00 - 15.01.2018 11:00","22","0"
"15.01.2018 11:00 - 15.01.2018 12:00","34","0"
"15.01.2018 12:00 - 15.01.2018 13:00","363","0"
"15.01.2018 13:00 - 15.01.2018 14:00","1008","0"
"15.01.2018 14:00 - 15.01.2018 15:00","764","0"
"15.01.2018 15:00 - 15.01.2018 16:00","1057","0"
"15.01.2018 16:00 - 15.01.2018 17:00","1625","0"
"15.01.2018 17:00 - 15.01.2018 18:00","937","0"
"15.01.2018 18:00 - 15.01.2018 19:00","1817","0"
"15.01.2018 19:00 - 15.01.2018 20:00","1959","0"
"15.01.2018 20:00 - 15.01.2018 21:00","1870","0"
"15.01.2018 21:00 - 15.01.2018 22:00","1915","0"
"15.01.2018 22:00 - 15.01.2018 23:00","1612","0"
"15.01.2018 23:00 - 16.01.2018 00:00","1770","0"
"16.01.2018 00:00 - 16.01.2018 01:00","1360","0"
"16.01.2018 01:00 - 16.01.2018 02:00","1560","0"
"16.01.2018 02:00 - 16.01.2018 03:00","1441","0"
"16.01.2018 03:00 - 16.01.2018 04:00","1717","0"
"16.01.2018 04:00 - 16.01.2018 05:00","1793","0"
"16.01.2018 05:00 - 16.01.2018 06:00","1894","0"
"16.01.2018 06:00 - 16.01.2018 07:00","1322","0"
"16.01.2018 07:00 - 16.01.2018 08:00","210","0"
"16.01.2018 08:00 - 16.01.2018 09:00","0","268"
"16.01.2018 09:00 - 16.01.2018 10:00","0","345"
"16.01.2018 10:00 - 16.01.2018 11:00","0","385"
"16.01.2018 11:00 - 16.01.2018 12:00","0","335"
"16.01.2018 12:00 - 16.01.2018 13:00","0","314"
"16.01.2018 13:00 - 16.01.2018 14:00","0","70"
"16.01.2018 14:00 - 16.01.2018 15:00","0","50"
"16.01.2018 15:00 - 16.01.2018 16:00","0","4"
"16.01.2018 16:00 - 16.01.2018 17:00","0","492"
"16.01.2018 17:00 - 16.01.2018 18:00","0","404"
"16.01.2018 18:00 - 16.01.2018 19:00","0","1303"
"16.01.2018 19:00 - 16.01.2018 20:00","0","1322"
"16.01.2018 20:00 - 16.01.2018 21:00","0","1210"
"16.01.2018 21:00 - 16.01.2018 22:00","0","1090"
"16.01.2018 22:00 - 16.01.2018 23:00","0","472"
"16.01.2018 23:00 - 17.01.2018 00:00","1389","0"
"17.01.2018 00:00 - 17.01.2018 01:00","1929","0"
"17.01.2018 01:00 - 17.01.2018 02:00","2077","0"
"17.01.2018 02:00 - 17.01.2018 03:00","2161","0"
"17.01.2018 03:00 - 17.01.2018 04:00","2046","0"
"17.01.2018 04:00 - 17.01.2018 05:00","2080","0"
"17.01.2018 05:00 - 17.01.2018 06:00","1763","0"
"17.01.2018 06:00 - 17.01.2018 07:00","592","0"
"17.01.2018 07:00 - 17.01.2018 08:00","0","428"
"17.01.2018 08:00 - 17.01.2018 09:00","0","950"
"17.01.2018 09:00 - 17.01.2018 10:00","0","354"
"17.01.2018 10:00 - 17.01.2018 11:00","0","333"
"17.01.2018 11:00 - 17.01.2018 12:00","0","136"
"17.01.2018 12:00 - 17.01.2018 13:00","404","0"
"17.01.2018 13:00 - 17.01.2018 14:00","950","0"
"17.01.2018 14:00 - 17.01.2018 15:00","886","0"
"17.01.2018 15:00 - 17.01.2018 16:00","979","0"
"17.01.2018 16:00 - 17.01.2018 17:00","1259","0"
"17.01.2018 17:00 - 17.01.2018 18:00","254","0"
"17.01.2018 18:00 - 17.01.2018 19:00","208","0"
"17.01.2018 19:00 - 17.01.2018 20:00","5","0"
"17.01.2018 20:00 - 17.01.2018 21:00","1486","0"
"17.01.2018 21:00 - 17.01.2018 22:00","2101","0"
"17.01.2018 22:00 - 17.01.2018 23:00","1956","0"
"17.01.2018 23:00 - 18.01.2018 00:00","2126","0"
"18.01.2018 00:00 - 18.01.2018 01:00","2113","0"
"18.01.2018 01:00 - 18.01.2018 02:00","2104","0"
"18.01.2018 02:00 - 18.01.2018 03:00","2105","0"
"18.01.2018 03:00 - 18.01.2018 04:00","2099","0"
"18.01.2018 04:00 - 18.01.2018 05:00","2140","0"
"18.01.2018 05:00 - 18.01.2018 06:00","2129","0"
"18.01.2018 06:00 - 18.01.2018 07:00","2022","0"
"18.01.2018 07:00 - 18.01.2018 08:00","947","0"
"18.01.2018 08:00 - 18.01.2018 09:00","1703","0"
"18.01.2018 09:00 - 18.01.2018 10:00","1774","0"
"18.01.2018 10:00 - 18.01.2018 11:00","2024","0"
"18.01.2018 11:00 - 18.01.2018 12:00","2009","0"
"18.01.2018 12:00 - 18.01.2018 13:00","1651","0"
"18.01.2018 13:00 - 18.01.2018 14:00","1852","0"
"18.01.2018 14:00 - 18.01.2018 15:00","1467","0"
"18.01.2018 15:00 - 18.01.2018 16:00","1459","0"
"18.01.2018 16:00 - 18.01.2018 17:00","1495","0"
"18.01.2018 17:00 - 18.01.2018 18:00","1325","0"
"18.01.2018 18:00 - 18.01.2018 19:00","823","0"
"18.01.2018 19:00 - 18.01.2018 20:00","0","146"
"18.01.2018 20:00 - 18.01.2018 21:00","0","930"
"18.01.2018 21:00 - 18.01.2018 22:00","256","0"
"18.01.2018 22:00 - 18.01.2018 23:00","0","539"
"18.01.2018 23:00 - 19.01.2018 00:00","299","0"
"19.01.2018 00:00 - 19.01.2018 01:00","0","414"
"19.01.2018 01:00 - 19.01.2018 02:00","0","868"
"19.01.2018 02:00 - 19.01.2018 03:00","0","593"
"19.01.2018 03:00 - 19.01.2018 04:00","16","0"
"19.01.2018 04:00 - 19.01.2018 05:00","0","412"
"19.01.2018 05:00 - 19.01.2018 06:00","0","1083"
"19.01.2018 06:00 - 19.01.2018 07:00","0","1575"
"19.01.2018 07:00 - 19.01.2018 08:00","0","9"
"19.01.2018 08:00 - 19.01.2018 09:00","886","0"
"19.01.2018 09:00 - 19.01.2018 10:00","802","0"
"19.01.2018 10:00 - 19.01.2018 11:00","784","0"
"19.01.2018 11:00 - 19.01.2018 12:00","508","0"
"19.01.2018 12:00 - 19.01.2018 13:00","0","548"
"19.01.2018 13:00 - 19.01.2018 14:00","0","1177"
"19.01.2018 14:00 - 19.01.2018 15:00","0","1223"
"19.01.2018 15:00 - 19.01.2018 16:00","0","1274"
"19.01.2018 16:00 - 19.01.2018 17:00","0","532"
"19.01.2018 17:00 - 19.01.2018 18:00","182","0"
"19.01.2018 18:00 - 19.01.2018 19:00","0","165"
"19.01.2018 19:00 - 19.01.2018 20:00","0","1478"
