"Time (CET)","Estonia (EE) > Finland (FI) [MW]","Finland (FI) > Estonia (EE) [MW]"
"06.01.2018 03:00 - 06.01.2018 04:00","253","0"
"06.01.2018 04:00 - 06.01.2018 05:00","240","0"
"06.01.2018 05:00 - 06.01.2018 06:00","203","0"
"06.01.2018 06:00 - 06.01.2018 07:00","37","0"
"06.01.2018 07:00 - 06.01.2018 08:00","33","0"
"06.01.2018 08:00 - 06.01.2018 09:00","10","0"
"06.01.2018 09:00 - 06.01.2018 10:00","0","192"
"06.01.2018 10:00 - 06.01.2018 11:00","0","433"
"06.01.2018 11:00 - 06.01.2018 12:00","0","550"
"06.01.2018 12:00 - 06.01.2018 13:00","0","605"
"06.01.2018 13:00 - 06.01.2018 14:00","0","572"
"06.01.2018 14:00 - 06.01.2018 15:00","0","547"
"06.01.2018 15:00 - 06.01.2018 16:00","0","425"
"06.01.2018 16:00 - 06.01.2018 17:00","0","584"
"06.01.2018 17:00 - 06.01.2018 18:00","0","587"
"06.01.2018 18:00 - 06.01.2018 19:00","0","606"
"06.01.2018 19:00 - 06.01.2018 20:00","0","670"
"06.01.2018 20:00 - 06.01.2018 21:00","0","610"
"06.01.2018 21:00 - 06.01.2018 22:00","0","387"
"06.01.2018 22:00 - 06.01.2018 23:00","0","81"
"06.01.2018 23:00 - 07.01.2018 00:00","0","75"
"07.01.2018 00:00 - 07.01.2018 01:00","0","22"
"07.01.2018 01:00 - 07.01.2018 02:00","38","0"
"07.01.2018 02:00 - 07.01.2018 03:00","16","0"
"07.01.2018 03:00 - 07.01.2018 04:00","11","0"
"07.01.2018 04:00 - 07.01.2018 05:00","37","0"
"07.01.2018 05:00 - 07.01.2018 06:00","15","0"
"07.01.2018 06:00 - 07.01.2018 07:00","0","2"
"07.01.2018 07:00 - 07.01.2018 08:00","17","0"
"07.01.2018 08:00 - 07.01.2018 09:00","0","4"
"07.01.2018 09:00 - 07.01.2018 10:00","0","34"
"07.01.2018 10:00 - 07.01.2018 11:00","0","23"
"07.01.2018 11:00 - 07.01.2018 12:00","0","25"
"07.01.2018 12:00 - 07.01.2018 13:00","0","36"
"07.01.2018 13:00 - 07.01.2018 14:00","4","0"
"07.01.2018 14:00 - 07.01.2018 15:00","0","21"
"07.01.2018 15:00 - 07.01.2018 16:00","0","213"
"07.01.2018 16:00 - 07.01.2018 17:00","0","326"
"07.01.2018 17:00 - 07.01.2018 18:00","0","232"
"07.01.2018 18:00 - 07.01.2018 19:00","0","307"
"07.01.2018 19:00 - 07.01.2018 20:00","0","158"
"07.01.2018 20:00 - 07.01.2018 21:00","0","125"
"07.01.2018 21:00 - 07.01.2018 22:00","0","6"
"07.01.2018 22:00 - 07.01.2018 23:00","197","0"
"07.01.2018 23:00 - 08.01.2018 00:00","299","0"
"08.01.2018 00:00 - 08.01.2018 01:00","581","0"
"08.01.2018 01:00 - 08.01.2018 02:00","373","0"
"08.01.2018 02:00 - 08.01.2018 03:00","416","0"
"08.01.2018 03:00 - 08.01.2018 04:00","460","0"
"08.01.2018 04:00 - 08.01.2018 05:00","494","0"
"08.01.2018 05:00 - 08.01.2018 06:00","348","0"
"08.01.2018 06:00 - 08.01.2018 07:00","0","32"
"08.01.2018 07:00 - 08.01.2018 08:00","0","237"
"08.01.2018 08:00 - 08.01.2018 09:00","0","221"
"08.01.2018 09:00 - 08.01.2018 10:00","0","210"
"08.01.2018 10:00 - 08.01.2018 11:00","0","217"
"08.01.2018 11:00 - 08.01.2018 12:00","0","211"
"08.01.2018 12:00 - 08.01.2018 13:00","0","234"
"08.01.2018 13:00 - 08.01.2018 14:00","0","265"
"08.01.2018 14:00 - 08.01.2018 15:00","0","296"
"08.01.2018 15:00 - 08.01.2018 16:00","0","341"
"08.01.2018 16:00 - 08.01.2018 17:00","0","362"
"08.01.2018 17:00 - 08.01.2018 18:00","0","366"
"08.01.2018 18:00 - 08.01.2018 19:00","0","301"
"08.01.2018 19:00 - 08.01.2018 20:00","0","247"
"08.01.2018 20:00 - 08.01.2018 21:00","0","33"
"08.01.2018 21:00 - 08.01.2018 22:00","20","0"
"08.01.2018 22:00 - 08.01.2018 23:00","12","0"
"08.01.2018 23:00 - 09.01.2018 00:00","173","0"
"09.01.2018 00:00 - 09.01.2018 01:00","135","0"
"09.01.2018 01:00 - 09.01.2018 02:00","183","0"
"09.01.2018 02:00 - 09.01.2018 03:00","109","0"
"09.01.2018 03:00 - 09.01.2018 04:00","333","0"
"09.01.2018 04:00 - 09.01.2018 05:00","431","0"
"09.01.2018 05:00 - 09.01.2018 06:00","476","0"
"09.01.2018 06:00 - 09.01.2018 07:00","694","0"
"09.01.2018 07:00 - 09.01.2018 08:00","279","0"
"09.01.2018 08:00 - 09.01.2018 09:00","103","0"
"09.01.2018 09:00 - 09.01.2018 10:00","132","0"
"09.01.2018 10:00 - 09.01.2018 11:00","0","32"
"09.01.2018 11:00 - 09.01.2018 12:00","0","85"
"09.01.2018 12:00 - 09.01.2018 13:00","0","230"
"09.01.2018 13:00 - 09.01.2018 14:00","0","313"
"09.01.2018 14:00 - 09.01.2018 15:00","0","68"
"09.01.2018 15:00 - 09.01.2018 16:00","66","0"
"09.01.2018 16:00 - 09.01.2018 17:00","12","0"
"09.01.2018 17:00 - 09.01.2018 18:00","21","0"
"09.01.2018 18:00 - 09.01.2018 19:00","157","0"
"09.01.2018 19:00 - 09.01.2018 20:00","0","7"
"09.01.2018 20:00 - 09.01.2018 21:00","0","27"
"09.01.2018 21:00 - 09.01.2018 22:00","93","0"
"09.01.2018 22:00 - 09.01.2018 23:00","569","0"
"09.01.2018 23:00 - 10.01.2018 00:00","740","0"
"10.01.2018 00:00 - 10.01.2018 01:00","580","0"
"10.01.2018 01:00 - 10.01.2018 02:00","500","0"
"10.01.2018 02:00 - 10.01.2018 03:00","371","0"
"10.01.2018 03:00 - 10.01.2018 04:00","380","0"
"10.01.2018 04:00 - 10.01.2018 05:00","576","0"
"10.01.2018 05:00 - 10.01.2018 06:00","671","0"
"10.01.2018 06:00 - 10.01.2018 07:00","634","0"
"10.01.2018 07:00 - 10.01.2018 08:00","415","0"
"10.01.2018 08:00 - 10.01.2018 09:00","194","0"
"10.01.2018 09:00 - 10.01.2018 10:00","327","0"
"10.01.2018 10:00 - 10.01.2018 11:00","317","0"
"10.01.2018 11:00 - 10.01.2018 12:00","327","0"
"10.01.2018 12:00 - 10.01.2018 13:00","182","0"
"10.01.2018 13:00 - 10.01.2018 14:00","152","0"
"10.01.2018 14:00 - 10.01.2018 15:00","195","0"
"10.01.2018 15:00 - 10.01.2018 16:00","355","0"
"10.01.2018 16:00 - 10.01.2018 17:00","515","0"
"10.01.2018 17:00 - 10.01.2018 18:00","572","0"
"10.01.2018 18:00 - 10.01.2018 19:00","528","0"
"10.01.2018 19:00 - 10.01.2018 20:00","120","0"
"10.01.2018 20:00 - 10.01.2018 21:00","0","0"
"10.01.2018 21:00 - 10.01.2018 22:00","180","0"
"10.01.2018 22:00 - 10.01.2018 23:00","607","0"
"10.01.2018 23:00 - 11.01.2018 00:00","782","0"
"11.01.2018 00:00 - 11.01.2018 01:00","751","0"
"11.01.2018 01:00 - 11.01.2018 02:00","653","0"
"11.01.2018 02:00 - 11.01.2018 03:00","751","0"
"11.01.2018 03:00 - 11.01.2018 04:00","732","0"
"11.01.2018 04:00 - 11.01.2018 05:00","762","0"
"11.01.2018 05:00 - 11.01.2018 06:00","643","0"
"11.01.2018 06:00 - 11.01.2018 07:00","851","0"
"11.01.2018 07:00 - 11.01.2018 08:00","503","0"
"11.01.2018 08:00 - 11.01.2018 09:00","358","0"
"11.01.2018 09:00 - 11.01.2018 10:00","337","0"
"11.01.2018 10:00 - 11.01.2018 11:00","51","0"
"11.01.2018 11:00 - 11.01.2018 12:00","51","0"
"11.01.2018 12:00 - 11.01.2018 13:00","6","0"
"11.01.2018 13:00 - 11.01.2018 14:00","0","15"
"11.01.2018 14:00 - 11.01.2018 15:00","254","0"
"11.01.2018 15:00 - 11.01.2018 16:00","359","0"
"11.01.2018 16:00 - 11.01.2018 17:00","401","0"
"11.01.2018 17:00 - 11.01.2018 18:00","301","0"
"11.01.2018 18:00 - 11.01.2018 19:00","253","0"
"11.01.2018 19:00 - 11.01.2018 20:00","0","17"
"11.01.2018 20:00 - 11.01.2018 21:00","96","0"
"11.01.2018 21:00 - 11.01.2018 22:00","472","0"
"11.01.2018 22:00 - 11.01.2018 23:00","629","0"
"11.01.2018 23:00 - 12.01.2018 00:00","665","0"
"12.01.2018 00:00 - 12.01.2018 01:00","431","0"
"12.01.2018 01:00 - 12.01.2018 02:00","248","0"
"12.01.2018 02:00 - 12.01.2018 03:00","333","0"
"12.01.2018 03:00 - 12.01.2018 04:00","364","0"
"12.01.2018 04:00 - 12.01.2018 05:00","625","0"
"12.01.2018 05:00 - 12.01.2018 06:00","805","0"
"12.01.2018 06:00 - 12.01.2018 07:00","508","0"
"12.01.2018 07:00 - 12.01.2018 08:00","141","0"
"12.01.2018 08:00 - 12.01.2018 09:00","234","0"
"12.01.2018 09:00 - 12.01.2018 10:00","213","0"
"12.01.2018 10:00 - 12.01.2018 11:00","247","0"
"12.01.2018 11:00 - 12.01.2018 12:00","0","6"
"12.01.2018 12:00 - 12.01.2018 13:00","0","232"
"12.01.2018 13:00 - 12.01.2018 14:00","0","183"
"12.01.2018 14:00 - 12.01.2018 15:00","0","55"
"12.01.2018 15:00 - 12.01.2018 16:00","18","0"
"12.01.2018 16:00 - 12.01.2018 17:00","36","0"
"12.01.2018 17:00 - 12.01.2018 18:00","132","0"
"12.01.2018 18:00 - 12.01.2018 19:00","157","0"
"12.01.2018 19:00 - 12.01.2018 20:00","12","0"
"12.01.2018 20:00 - 12.01.2018 21:00","0","22"
"12.01.2018 21:00 - 12.01.2018 22:00","15","0"
"12.01.2018 22:00 - 12.01.2018 23:00","339","0"
"12.01.2018 23:00 - 13.01.2018 00:00","232","0"
"13.01.2018 00:00 - 13.01.2018 01:00","31","0"
"13.01.2018 01:00 - 13.01.2018 02:00","0","21"
"13.01.2018 02:00 - 13.01.2018 03:00","32","0"
"13.01.2018 03:00 - 13.01.2018 04:00","0","28"
"13.01.2018 04:00 - 13.01.2018 05:00","0","17"
"13.01.2018 05:00 - 13.01.2018 06:00","0","5"
"13.01.2018 06:00 - 13.01.2018 07:00","0","13"
"13.01.2018 07:00 - 13.01.2018 08:00","0","35"
"13.01.2018 08:00 - 13.01.2018 09:00","0","510"
"13.01.2018 09:00 - 13.01.2018 10:00","0","626"
"13.01.2018 10:00 - 13.01.2018 11:00","0","697"
"13.01.2018 11:00 - 13.01.2018 12:00","0","738"
"13.01.2018 12:00 - 13.01.2018 13:00","0","710"
"13.01.2018 13:00 - 13.01.2018 14:00","0","696"
"13.01.2018 14:00 - 13.01.2018 15:00","0","609"
"13.01.2018 15:00 - 13.01.2018 16:00","0","366"
"13.01.2018 16:00 - 13.01.2018 17:00","0","292"
"13.01.2018 17:00 - 13.01.2018 18:00","0","777"
"13.01.2018 18:00 - 13.01.2018 19:00","0","858"
"13.01.2018 19:00 - 13.01.2018 20:00","0","784"
"13.01.2018 20:00 - 13.01.2018 21:00","0","750"
"13.01.2018 21:00 - 13.01.2018 22:00","0","561"
"13.01.2018 22:00 - 13.01.2018 23:00","0","76"
"13.01.2018 23:00 - 14.01.2018 00:00","0","12"
"14.01.2018 00:00 - 14.01.2018 01:00","0","34"
"14.01.2018 01:00 - 14.01.2018 02:00","9","0"
"14.01.2018 02:00 - 14.01.2018 03:00","0","61"
"14.01.2018 03:00 - 14.01.2018 04:00","0","56"
"14.01.2018 04:00 - 14.01.2018 05:00","0","97"
"14.01.2018 05:00 - 14.01.2018 06:00","0","116"
"14.01.2018 06:00 - 14.01.2018 07:00","0","136"
"14.01.2018 07:00 - 14.01.2018 08:00","0","153"
"14.01.2018 08:00 - 14.01.2018 09:00","0","344"
"14.01.2018 09:00 - 14.01.2018 10:00","0","909"
"14.01.2018 10:00 - 14.01.2018 11:00","0","999"
"14.01.2018 11:00 - 14.01.2018 12:00","0","815"
"14.01.2018 12:00 - 14.01.2018 13:00","0","862"
"14.01.2018 13:00 - 14.01.2018 14:00","0","833"
"14.01.2018 14:00 - 14.01.2018 15:00","0","819"
"14.01.2018 15:00 - 14.01.2018 16:00","0","957"
"14.01.2018 16:00 - 14.01.2018 17:00","0","991"
"14.01.2018 17:00 - 14.01.2018 18:00","0","993"
"14.01.2018 18:00 - 14.01.2018 19:00","0","981"
"14.01.2018 19:00 - 14.01.2018 20:00","0","966"
"14.01.2018 20:00 - 14.01.2018 21:00","0","867"
"14.01.2018 21:00 - 14.01.2018 22:00","0","619"
"14.01.2018 22:00 - 14.01.2018 23:00","0","68"
"14.01.2018 23:00 - 15.01.2018 00:00","22","0"
"15.01.2018 00:00 - 15.01.2018 01:00","0","184"
"15.01.2018 01:00 - 15.01.2018 02:00","0","249"
"15.01.2018 02:00 - 15.01.2018 03:00","0","385"
"15.01.2018 03:00 - 15.01.2018 04:00","0","264"
"15.01.2018 04:00 - 15.01.2018 05:00","0","150"
"15.01.2018 05:00 - 15.01.2018 06:00","0","22"
"15.01.2018 06:00 - 15.01.2018 07:00","0","70"
"15.01.2018 07:00 - 15.01.2018 08:00","0","304"
"15.01.2018 08:00 - 15.01.2018 09:00","0","559"
"15.01.2018 09:00 - 15.01.2018 10:00","0","638"
"15.01.2018 10:00 - 15.01.2018 11:00","0","517"
"15.01.2018 11:00 - 15.01.2018 12:00","0","446"
"15.01.2018 12:00 - 15.01.2018 13:00","0","489"
"15.01.2018 13:00 - 15.01.2018 14:00","0","466"
"15.01.2018 14:00 - 15.01.2018 15:00","0","350"
"15.01.2018 15:00 - 15.01.2018 16:00","0","351"
"15.01.2018 16:00 - 15.01.2018 17:00","0","413"
"15.01.2018 17:00 - 15.01.2018 18:00","0","464"
"15.01.2018 18:00 - 15.01.2018 19:00","0","240"
"15.01.2018 19:00 - 15.01.2018 20:00","0","361"
"15.01.2018 20:00 - 15.01.2018 21:00","0","443"
"15.01.2018 21:00 - 15.01.2018 22:00","0","183"
"15.01.2018 22:00 - 15.01.2018 23:00","0","355"
"15.01.2018 23:00 - 16.01.2018 00:00","0","276"
"16.01.2018 00:00 - 16.01.2018 01:00","0","18"
"16.01.2018 01:00 - 16.01.2018 02:00","0","9"
"16.01.2018 02:00 - 16.01.2018 03:00","48","0"
"16.01.2018 03:00 - 16.01.2018 04:00","39","0"
"16.01.2018 04:00 - 16.01.2018 05:00","22","0"
"16.01.2018 05:00 - 16.01.2018 06:00","431","0"
"16.01.2018 06:00 - 16.01.2018 07:00","274","0"
"16.01.2018 07:00 - 16.01.2018 08:00","28","0"
"16.01.2018 08:00 - 16.01.2018 09:00","0","160"
"16.01.2018 09:00 - 16.01.2018 10:00","0","75"
"16.01.2018 10:00 - 16.01.2018 11:00","0","220"
"16.01.2018 11:00 - 16.01.2018 12:00","0","299"
"16.01.2018 12:00 - 16.01.2018 13:00","0","291"
"16.01.2018 13:00 - 16.01.2018 14:00","0","275"
"16.01.2018 14:00 - 16.01.2018 15:00","0","252"
"16.01.2018 15:00 - 16.01.2018 16:00","0","118"
"16.01.2018 16:00 - 16.01.2018 17:00","0","24"
"16.01.2018 17:00 - 16.01.2018 18:00","71","0"
"16.01.2018 18:00 - 16.01.2018 19:00","0","5"
"16.01.2018 19:00 - 16.01.2018 20:00","0","288"
"16.01.2018 20:00 - 16.01.2018 21:00","0","312"
"16.01.2018 21:00 - 16.01.2018 22:00","0","184"
"16.01.2018 22:00 - 16.01.2018 23:00","0","12"
"16.01.2018 23:00 - 17.01.2018 00:00","0","6"
"17.01.2018 00:00 - 17.01.2018 01:00","101","0"
"17.01.2018 01:00 - 17.01.2018 02:00","82","0"
"17.01.2018 02:00 - 17.01.2018 03:00","11","0"
"17.01.2018 03:00 - 17.01.2018 04:00","0","52"
"17.01.2018 04:00 - 17.01.2018 05:00","21","0"
"17.01.2018 05:00 - 17.01.2018 06:00","0","55"
"17.01.2018 06:00 - 17.01.2018 07:00","0","84"
"17.01.2018 07:00 - 17.01.2018 08:00","0","154"
"17.01.2018 08:00 - 17.01.2018 09:00","161","0"
"17.01.2018 09:00 - 17.01.2018 10:00","0","273"
"17.01.2018 10:00 - 17.01.2018 11:00","0","354"
"17.01.2018 11:00 - 17.01.2018 12:00","0","318"
"17.01.2018 12:00 - 17.01.2018 13:00","0","385"
"17.01.2018 13:00 - 17.01.2018 14:00","0","354"
"17.01.2018 14:00 - 17.01.2018 15:00","0","361"
"17.01.2018 15:00 - 17.01.2018 16:00","0","339"
"17.01.2018 16:00 - 17.01.2018 17:00","0","285"
"17.01.2018 17:00 - 17.01.2018 18:00","0","315"
"17.01.2018 18:00 - 17.01.2018 19:00","0","354"
"17.01.2018 19:00 - 17.01.2018 20:00","0","324"
"17.01.2018 20:00 - 17.01.2018 21:00","0","308"
"17.01.2018 21:00 - 17.01.2018 22:00","0","146"
"17.01.2018 22:00 - 17.01.2018 23:00","0","64"
"17.01.2018 23:00 - 18.01.2018 00:00","0","30"
"18.01.2018 00:00 - 18.01.2018 01:00","214","0"
"18.01.2018 01:00 - 18.01.2018 02:00","401","0"
"18.01.2018 02:00 - 18.01.2018 03:00","367","0"
"18.01.2018 03:00 - 18.01.2018 04:00","458","0"
"18.01.2018 04:00 - 18.01.2018 05:00","198","0"
"18.01.2018 05:00 - 18.01.2018 06:00","113","0"
"18.01.2018 06:00 - 18.01.2018 07:00","0","120"
"18.01.2018 07:00 - 18.01.2018 08:00","0","193"
"18.01.2018 08:00 - 18.01.2018 09:00","0","357"
"18.01.2018 09:00 - 18.01.2018 10:00","0","366"
"18.01.2018 10:00 - 18.01.2018 11:00","0","195"
"18.01.2018 11:00 - 18.01.2018 12:00","0","300"
"18.01.2018 12:00 - 18.01.2018 13:00","0","337"
"18.01.2018 13:00 - 18.01.2018 14:00","0","331"
"18.01.2018 14:00 - 18.01.2018 15:00","0","226"
"18.01.2018 15:00 - 18.01.2018 16:00","0","161"
"18.01.2018 16:00 - 18.01.2018 17:00","0","163"
"18.01.2018 17:00 - 18.01.2018 18:00","0","69"
"18.01.2018 18:00 - 18.01.2018 19:00","78","0"
"18.01.2018 19:00 - 18.01.2018 20:00","37","0"
"18.01.2018 20:00 - 18.01.2018 21:00","72","0"
"18.01.2018 21:00 - 18.01.2018 22:00","0","122"
"18.01.2018 22:00 - 18.01.2018 23:00","244","0"
"18.01.2018 23:00 - 19.01.2018 00:00","369","0"
"19.01.2018 00:00 - 19.01.2018 01:00","436","0"
"19.01.2018 01:00 - 19.01.2018 02:00","450","0"
"19.01.2018 02:00 - 19.01.2018 03:00","460","0"
"19.01.2018 03:00 - 19.01.2018 04:00","265","0"
"19.01.2018 04:00 - 19.01.2018 05:00","290","0"
"19.01.2018 05:00 - 19.01.2018 06:00","0","80"
"19.01.2018 06:00 - 19.01.2018 07:00","58","0"
"19.01.2018 07:00 - 19.01.2018 08:00","262","0"
"19.01.2018 08:00 - 19.01.2018 09:00","209","0"
"19.01.2018 09:00 - 19.01.2018 10:00","308","0"
"19.01.2018 10:00 - 19.01.2018 11:00","334","0"
"19.01.2018 11:00 - 19.01.2018 12:00","390","0"
"19.01.2018 12:00 - 19.01.2018 13:00","195","0"
"19.01.2018 13:00 - 19.01.2018 14:00","85","0"
"19.01.2018 14:00 - 19.01.2018 15:00","180","0"
"19.01.2018 15:00 - 19.01.2018 16:00","461","0"
"19.01.2018 16:00 - 19.01.2018 17:00","531","0"
"19.01.2018 17:00 - 19.01.2018 18:00","542","0"
"19.01.2018 18:00 - 19.01.2018 19:00","561","0"
"19.01.2018 19:00 - 19.01.2018 20:00","34","0"
"19.01.2018 20:00 - 19.01.2018 21:00","46","0"
"19.01.2018 21:00 - 19.01.2018 22:00","51","0"
"19.01.2018 22:00 - 19.01.2018 23:00","378","0"
"19.01.2018 23:00 - 20.01.2018 00:00","357","0"
"20.01.2018 00:00 - 20.01.2018 01:00","0","109"
"20.01.2018 01:00 - 20.01.2018 02:00","0","133"
"20.01.2018 02:00 - 20.01.2018 03:00","0","136"
"20.01.2018 03:00 - 20.01.2018 04:00","0","192"
"20.01.2018 04:00 - 20.01.2018 05:00","0","264"
"20.01.2018 05:00 - 20.01.2018 06:00","0","294"
"20.01.2018 06:00 - 20.01.2018 07:00","0","318"
