"Time (CET)","Day-ahead Total Load Forecast [MW] - Austria (AT)","Actual Total Load [MW] - Austria (AT)"
"07.08.2019 04:30 - 07.08.2019 04:45","4984","5006"
"07.08.2019 04:45 - 07.08.2019 05:00","5068","5106"
"07.08.2019 05:00 - 07.08.2019 05:15","5220","5314"
"07.08.2019 05:15 - 07.08.2019 05:30","5352","5444"
"07.08.2019 05:30 - 07.08.2019 05:45","5508","5567"
"07.08.2019 05:45 - 07.08.2019 06:00","5708","5752"
"07.08.2019 06:00 - 07.08.2019 06:15","6028","6116"
"07.08.2019 06:15 - 07.08.2019 06:30","6264","6286"
"07.08.2019 06:30 - 07.08.2019 06:45","6452","6489"
"07.08.2019 06:45 - 07.08.2019 07:00","6644","6658"
"07.08.2019 07:00 - 07.08.2019 07:15","6948","7008"
"07.08.2019 07:15 - 07.08.2019 07:30","7096","7168"
"07.08.2019 07:30 - 07.08.2019 07:45","7216","7277"
"07.08.2019 07:45 - 07.08.2019 08:00","7316","7338"
"07.08.2019 08:00 - 07.08.2019 08:15","7440","7502"
"07.08.2019 08:15 - 07.08.2019 08:30","7508","7588"
"07.08.2019 08:30 - 07.08.2019 08:45","7556","7614"
"07.08.2019 08:45 - 07.08.2019 09:00","7592","7661"
"07.08.2019 09:00 - 07.08.2019 09:15","7580","7700"
"07.08.2019 09:15 - 07.08.2019 09:30","7608","7781"
"07.08.2019 09:30 - 07.08.2019 09:45","7648","7870"
"07.08.2019 09:45 - 07.08.2019 10:00","7664","7930"
"07.08.2019 10:00 - 07.08.2019 10:15","7684","8002"
"07.08.2019 10:15 - 07.08.2019 10:30","7708","8027"
"07.08.2019 10:30 - 07.08.2019 10:45","7740","8083"
"07.08.2019 10:45 - 07.08.2019 11:00","7772","8088"
"07.08.2019 11:00 - 07.08.2019 11:15","7800","8121"
"07.08.2019 11:15 - 07.08.2019 11:30","7836","8158"
"07.08.2019 11:30 - 07.08.2019 11:45","7844","8146"
"07.08.2019 11:45 - 07.08.2019 12:00","7812","8108"
"07.08.2019 12:00 - 07.08.2019 12:15","7724","8022"
"07.08.2019 12:15 - 07.08.2019 12:30","7632","7924"
"07.08.2019 12:30 - 07.08.2019 12:45","7608","7901"
"07.08.2019 12:45 - 07.08.2019 13:00","7604","7893"
"07.08.2019 13:00 - 07.08.2019 13:15","7616","7877"
"07.08.2019 13:15 - 07.08.2019 13:30","7604","7878"
"07.08.2019 13:30 - 07.08.2019 13:45","7580","7840"
"07.08.2019 13:45 - 07.08.2019 14:00","7540","7798"
"07.08.2019 14:00 - 07.08.2019 14:15","7528","7766"
"07.08.2019 14:15 - 07.08.2019 14:30","7520","7762"
"07.08.2019 14:30 - 07.08.2019 14:45","7500","7787"
"07.08.2019 14:45 - 07.08.2019 15:00","7476","7761"
"07.08.2019 15:00 - 07.08.2019 15:15","7472","7778"
"07.08.2019 15:15 - 07.08.2019 15:30","7456","7799"
"07.08.2019 15:30 - 07.08.2019 15:45","7436","7794"
"07.08.2019 15:45 - 07.08.2019 16:00","7420","7778"
"07.08.2019 16:00 - 07.08.2019 16:15","7400","7744"
"07.08.2019 16:15 - 07.08.2019 16:30","7388","7750"
"07.08.2019 16:30 - 07.08.2019 16:45","7384","7754"
"07.08.2019 16:45 - 07.08.2019 17:00","7376","7753"
"07.08.2019 17:00 - 07.08.2019 17:15","7364","7744"
"07.08.2019 17:15 - 07.08.2019 17:30","7372","7734"
"07.08.2019 17:30 - 07.08.2019 17:45","7388","7756"
"07.08.2019 17:45 - 07.08.2019 18:00","7392","7740"
"07.08.2019 18:00 - 07.08.2019 18:15","7364","7660"
"07.08.2019 18:15 - 07.08.2019 18:30","7356","7668"
"07.08.2019 18:30 - 07.08.2019 18:45","7340","7659"
"07.08.2019 18:45 - 07.08.2019 19:00","7312","7618"
"07.08.2019 19:00 - 07.08.2019 19:15","7184","7383"
"07.08.2019 19:15 - 07.08.2019 19:30","7132","7264"
"07.08.2019 19:30 - 07.08.2019 19:45","7088","7255"
"07.08.2019 19:45 - 07.08.2019 20:00","7032","7222"
"07.08.2019 20:00 - 07.08.2019 20:15","6968","7126"
"07.08.2019 20:15 - 07.08.2019 20:30","6904","7088"
"07.08.2019 20:30 - 07.08.2019 20:45","6848","7042"
"07.08.2019 20:45 - 07.08.2019 21:00","6800","6998"
"07.08.2019 21:00 - 07.08.2019 21:15","6748","6822"
"07.08.2019 21:15 - 07.08.2019 21:30","6684","6739"
"07.08.2019 21:30 - 07.08.2019 21:45","6584","6618"
"07.08.2019 21:45 - 07.08.2019 22:00","6464","6460"
"07.08.2019 22:00 - 07.08.2019 22:15","6512","6473"
"07.08.2019 22:15 - 07.08.2019 22:30","6424","6332"
"07.08.2019 22:30 - 07.08.2019 22:45","6252","6130"
"07.08.2019 22:45 - 07.08.2019 23:00","6104","6012"
"07.08.2019 23:00 - 07.08.2019 23:15","6024","5890"
"07.08.2019 23:15 - 07.08.2019 23:30","5868","5751"
"07.08.2019 23:30 - 07.08.2019 23:45","5732","5618"
"07.08.2019 23:45 - 08.08.2019 00:00","5640","5548"
"08.08.2019 00:00 - 08.08.2019 00:15","5456","5555"
"08.08.2019 00:15 - 08.08.2019 00:30","5348","5416"
"08.08.2019 00:30 - 08.08.2019 00:45","5240","5333"
"08.08.2019 00:45 - 08.08.2019 01:00","5148","5254"
"08.08.2019 01:00 - 08.08.2019 01:15","5140","5199"
"08.08.2019 01:15 - 08.08.2019 01:30","5068","5155"
"08.08.2019 01:30 - 08.08.2019 01:45","5008","5096"
"08.08.2019 01:45 - 08.08.2019 02:00","4956","5062"
"08.08.2019 02:00 - 08.08.2019 02:15","5036","5106"
"08.08.2019 02:15 - 08.08.2019 02:30","4968","5022"
"08.08.2019 02:30 - 08.08.2019 02:45","4916","4989"
"08.08.2019 02:45 - 08.08.2019 03:00","4868","4936"
"08.08.2019 03:00 - 08.08.2019 03:15","4864","4906"
"08.08.2019 03:15 - 08.08.2019 03:30","4844","4903"
"08.08.2019 03:30 - 08.08.2019 03:45","4832","4890"
"08.08.2019 03:45 - 08.08.2019 04:00","4840","4860"
"08.08.2019 04:00 - 08.08.2019 04:15","4880","4945"
"08.08.2019 04:15 - 08.08.2019 04:30","4916","4971"
"08.08.2019 04:30 - 08.08.2019 04:45","4976","5020"
"08.08.2019 04:45 - 08.08.2019 05:00","5060","5080"
"08.08.2019 05:00 - 08.08.2019 05:15","5212","5312"
"08.08.2019 05:15 - 08.08.2019 05:30","5344","5418"
"08.08.2019 05:30 - 08.08.2019 05:45","5504","5552"
"08.08.2019 05:45 - 08.08.2019 06:00","5696","5717"
"08.08.2019 06:00 - 08.08.2019 06:15","6016","6052"
"08.08.2019 06:15 - 08.08.2019 06:30","6252","6263"
"08.08.2019 06:30 - 08.08.2019 06:45","6436","6402"
"08.08.2019 06:45 - 08.08.2019 07:00","6616","6520"
"08.08.2019 07:00 - 08.08.2019 07:15","6924","6969"
"08.08.2019 07:15 - 08.08.2019 07:30","7072","7109"
"08.08.2019 07:30 - 08.08.2019 07:45","7196","7273"
"08.08.2019 07:45 - 08.08.2019 08:00","7300","7377"
"08.08.2019 08:00 - 08.08.2019 08:15","7424","7489"
"08.08.2019 08:15 - 08.08.2019 08:30","7484","7599"
"08.08.2019 08:30 - 08.08.2019 08:45","7536","7654"
"08.08.2019 08:45 - 08.08.2019 09:00","7572","7700"
"08.08.2019 09:00 - 08.08.2019 09:15","7564","7732"
"08.08.2019 09:15 - 08.08.2019 09:30","7596","7758"
"08.08.2019 09:30 - 08.08.2019 09:45","7632","7785"
"08.08.2019 09:45 - 08.08.2019 10:00","7652","7849"
"08.08.2019 10:00 - 08.08.2019 10:15","7672","7827"
"08.08.2019 10:15 - 08.08.2019 10:30","7700","7834"
"08.08.2019 10:30 - 08.08.2019 10:45","7732","7863"
"08.08.2019 10:45 - 08.08.2019 11:00","7764","7816"
"08.08.2019 11:00 - 08.08.2019 11:15","7792","7826"
"08.08.2019 11:15 - 08.08.2019 11:30","7828","7850"
"08.08.2019 11:30 - 08.08.2019 11:45","7836","7865"
"08.08.2019 11:45 - 08.08.2019 12:00","7808","7820"
"08.08.2019 12:00 - 08.08.2019 12:15","7716","7702"
"08.08.2019 12:15 - 08.08.2019 12:30","7624","7635"
"08.08.2019 12:30 - 08.08.2019 12:45","7600","7618"
"08.08.2019 12:45 - 08.08.2019 13:00","7596","7613"
"08.08.2019 13:00 - 08.08.2019 13:15","7608","7664"
"08.08.2019 13:15 - 08.08.2019 13:30","7596","7651"
"08.08.2019 13:30 - 08.08.2019 13:45","7572","7588"
"08.08.2019 13:45 - 08.08.2019 14:00","7532","7534"
"08.08.2019 14:00 - 08.08.2019 14:15","7520","7518"
"08.08.2019 14:15 - 08.08.2019 14:30","7508","7557"
"08.08.2019 14:30 - 08.08.2019 14:45","7492","7515"
"08.08.2019 14:45 - 08.08.2019 15:00","7468","7482"
"08.08.2019 15:00 - 08.08.2019 15:15","7464","7499"
"08.08.2019 15:15 - 08.08.2019 15:30","7444","7494"
"08.08.2019 15:30 - 08.08.2019 15:45","7424","7449"
"08.08.2019 15:45 - 08.08.2019 16:00","7416","7406"
"08.08.2019 16:00 - 08.08.2019 16:15","7396","7433"
"08.08.2019 16:15 - 08.08.2019 16:30","7384","7401"
"08.08.2019 16:30 - 08.08.2019 16:45","7376","7407"
"08.08.2019 16:45 - 08.08.2019 17:00","7372","7392"
"08.08.2019 17:00 - 08.08.2019 17:15","7364","7416"
"08.08.2019 17:15 - 08.08.2019 17:30","7372","7430"
"08.08.2019 17:30 - 08.08.2019 17:45","7388","7452"
"08.08.2019 17:45 - 08.08.2019 18:00","7388","7458"
"08.08.2019 18:00 - 08.08.2019 18:15","7356","7424"
"08.08.2019 18:15 - 08.08.2019 18:30","7348","7380"
"08.08.2019 18:30 - 08.08.2019 18:45","7332","7354"
"08.08.2019 18:45 - 08.08.2019 19:00","7304","7338"
"08.08.2019 19:00 - 08.08.2019 19:15","7172","7100"
"08.08.2019 19:15 - 08.08.2019 19:30","7120","7050"
"08.08.2019 19:30 - 08.08.2019 19:45","7076","7028"
"08.08.2019 19:45 - 08.08.2019 20:00","7020","6984"
"08.08.2019 20:00 - 08.08.2019 20:15","6956","6869"
"08.08.2019 20:15 - 08.08.2019 20:30","6892","6867"
"08.08.2019 20:30 - 08.08.2019 20:45","6844","6866"
"08.08.2019 20:45 - 08.08.2019 21:00","6796","6848"
"08.08.2019 21:00 - 08.08.2019 21:15","6736","6764"
"08.08.2019 21:15 - 08.08.2019 21:30","6664","6644"
"08.08.2019 21:30 - 08.08.2019 21:45","6556","6535"
"08.08.2019 21:45 - 08.08.2019 22:00","6440","6445"
"08.08.2019 22:00 - 08.08.2019 22:15","6484","6475"
"08.08.2019 22:15 - 08.08.2019 22:30","6396","6383"
"08.08.2019 22:30 - 08.08.2019 22:45","6224","6188"
"08.08.2019 22:45 - 08.08.2019 23:00","6080","6080"
"08.08.2019 23:00 - 08.08.2019 23:15","6004","5970"
"08.08.2019 23:15 - 08.08.2019 23:30","5848","5799"
"08.08.2019 23:30 - 08.08.2019 23:45","5716","5727"
"08.08.2019 23:45 - 09.08.2019 00:00","5616","5640"
"09.08.2019 00:00 - 09.08.2019 00:15","5536","5598"
"09.08.2019 00:15 - 09.08.2019 00:30","5432","5494"
"09.08.2019 00:30 - 09.08.2019 00:45","5324","5369"
"09.08.2019 00:45 - 09.08.2019 01:00","5224","5243"
"09.08.2019 01:00 - 09.08.2019 01:15","5212","5219"
"09.08.2019 01:15 - 09.08.2019 01:30","5140","5116"
"09.08.2019 01:30 - 09.08.2019 01:45","5076","5050"
"09.08.2019 01:45 - 09.08.2019 02:00","5024","5034"
"09.08.2019 02:00 - 09.08.2019 02:15","5100","5087"
"09.08.2019 02:15 - 09.08.2019 02:30","5036","5012"
"09.08.2019 02:30 - 09.08.2019 02:45","4980","4952"
"09.08.2019 02:45 - 09.08.2019 03:00","4936","4934"
"09.08.2019 03:00 - 09.08.2019 03:15","4928","4912"
"09.08.2019 03:15 - 09.08.2019 03:30","4904","4886"
"09.08.2019 03:30 - 09.08.2019 03:45","4892","4868"
"09.08.2019 03:45 - 09.08.2019 04:00","4904","4847"
"09.08.2019 04:00 - 09.08.2019 04:15","4944","4888"
"09.08.2019 04:15 - 09.08.2019 04:30","4976","4909"
"09.08.2019 04:30 - 09.08.2019 04:45","5036","4976"
"09.08.2019 04:45 - 09.08.2019 05:00","5120","5056"
"09.08.2019 05:00 - 09.08.2019 05:15","5276","5262"
"09.08.2019 05:15 - 09.08.2019 05:30","5404","5401"
"09.08.2019 05:30 - 09.08.2019 05:45","5560","5527"
"09.08.2019 05:45 - 09.08.2019 06:00","5752","5660"
"09.08.2019 06:00 - 09.08.2019 06:15","6060","6036"
"09.08.2019 06:15 - 09.08.2019 06:30","6292","6272"
"09.08.2019 06:30 - 09.08.2019 06:45","6472","6483"
"09.08.2019 06:45 - 09.08.2019 07:00","6648","6576"
"09.08.2019 07:00 - 09.08.2019 07:15","6952","6982"
"09.08.2019 07:15 - 09.08.2019 07:30","7100","7127"
"09.08.2019 07:30 - 09.08.2019 07:45","7224","7215"
"09.08.2019 07:45 - 09.08.2019 08:00","7328","7306"
"09.08.2019 08:00 - 09.08.2019 08:15","7444","7444"
"09.08.2019 08:15 - 09.08.2019 08:30","7504","7522"
"09.08.2019 08:30 - 09.08.2019 08:45","7556","7590"
"09.08.2019 08:45 - 09.08.2019 09:00","7592","7618"
"09.08.2019 09:00 - 09.08.2019 09:15","7584","7589"
"09.08.2019 09:15 - 09.08.2019 09:30","7616","7612"
"09.08.2019 09:30 - 09.08.2019 09:45","7652","7640"
"09.08.2019 09:45 - 09.08.2019 10:00","7672","7672"
"09.08.2019 10:00 - 09.08.2019 10:15","7688","7667"
"09.08.2019 10:15 - 09.08.2019 10:30","7716","7682"
"09.08.2019 10:30 - 09.08.2019 10:45","7748","7680"
"09.08.2019 10:45 - 09.08.2019 11:00","7780","7685"
"09.08.2019 11:00 - 09.08.2019 11:15","7800","7761"
"09.08.2019 11:15 - 09.08.2019 11:30","7836","7767"
"09.08.2019 11:30 - 09.08.2019 11:45","7844","7755"
"09.08.2019 11:45 - 09.08.2019 12:00","7808","7723"
"09.08.2019 12:00 - 09.08.2019 12:15","7716","7592"
"09.08.2019 12:15 - 09.08.2019 12:30","7632","7493"
"09.08.2019 12:30 - 09.08.2019 12:45","7600","7457"
"09.08.2019 12:45 - 09.08.2019 13:00","7592","7441"
"09.08.2019 13:00 - 09.08.2019 13:15","7604","7348"
"09.08.2019 13:15 - 09.08.2019 13:30","7584","7321"
"09.08.2019 13:30 - 09.08.2019 13:45","7560","7292"
"09.08.2019 13:45 - 09.08.2019 14:00","7524","7243"
"09.08.2019 14:00 - 09.08.2019 14:15","7512","7276"
"09.08.2019 14:15 - 09.08.2019 14:30","7500","7250"
"09.08.2019 14:30 - 09.08.2019 14:45","7480","7202"
"09.08.2019 14:45 - 09.08.2019 15:00","7460","7170"
"09.08.2019 15:00 - 09.08.2019 15:15","7456","7193"
"09.08.2019 15:15 - 09.08.2019 15:30","7436","7158"
"09.08.2019 15:30 - 09.08.2019 15:45","7416","7161"
"09.08.2019 15:45 - 09.08.2019 16:00","7404","7142"
"09.08.2019 16:00 - 09.08.2019 16:15","7396","7165"
"09.08.2019 16:15 - 09.08.2019 16:30","7384","7165"
"09.08.2019 16:30 - 09.08.2019 16:45","7376","7248"
"09.08.2019 16:45 - 09.08.2019 17:00","7372","7268"
"09.08.2019 17:00 - 09.08.2019 17:15","7368","7288"
"09.08.2019 17:15 - 09.08.2019 17:30","7372","7296"
"09.08.2019 17:30 - 09.08.2019 17:45","7388","7369"
"09.08.2019 17:45 - 09.08.2019 18:00","7392","7374"
"09.08.2019 18:00 - 09.08.2019 18:15","7360","7370"
"09.08.2019 18:15 - 09.08.2019 18:30","7348","7390"
"09.08.2019 18:30 - 09.08.2019 18:45","7332","7392"
"09.08.2019 18:45 - 09.08.2019 19:00","7296","7343"
"09.08.2019 19:00 - 09.08.2019 19:15","7160","7090"
"09.08.2019 19:15 - 09.08.2019 19:30","7108","7045"
"09.08.2019 19:30 - 09.08.2019 19:45","7064","6984"
"09.08.2019 19:45 - 09.08.2019 20:00","7004","6934"
"09.08.2019 20:00 - 09.08.2019 20:15","6940","6841"
"09.08.2019 20:15 - 09.08.2019 20:30","6880","6831"
"09.08.2019 20:30 - 09.08.2019 20:45","6828","6810"
"09.08.2019 20:45 - 09.08.2019 21:00","6776","6803"
"09.08.2019 21:00 - 09.08.2019 21:15","6712","6713"
"09.08.2019 21:15 - 09.08.2019 21:30","6636","6654"
"09.08.2019 21:30 - 09.08.2019 21:45","6532","6530"
"09.08.2019 21:45 - 09.08.2019 22:00","6424","6430"
"09.08.2019 22:00 - 09.08.2019 22:15","6464","6412"
"09.08.2019 22:15 - 09.08.2019 22:30","6376","6330"
"09.08.2019 22:30 - 09.08.2019 22:45","6208","6186"
"09.08.2019 22:45 - 09.08.2019 23:00","6064","6070"
"09.08.2019 23:00 - 09.08.2019 23:15","5988","5932"
"09.08.2019 23:15 - 09.08.2019 23:30","5836","5788"
"09.08.2019 23:30 - 09.08.2019 23:45","5712","5629"
"09.08.2019 23:45 - 10.08.2019 00:00","5600","5637"
"10.08.2019 00:00 - 10.08.2019 00:15","5604","5614"
"10.08.2019 00:15 - 10.08.2019 00:30","5496","5554"
"10.08.2019 00:30 - 10.08.2019 00:45","5388","5400"
"10.08.2019 00:45 - 10.08.2019 01:00","5284","5282"
"10.08.2019 01:00 - 10.08.2019 01:15","5264","5239"
"10.08.2019 01:15 - 10.08.2019 01:30","5176","5185"
"10.08.2019 01:30 - 10.08.2019 01:45","5096","5090"
"10.08.2019 01:45 - 10.08.2019 02:00","5032","5058"
"10.08.2019 02:00 - 10.08.2019 02:15","5108","5072"
"10.08.2019 02:15 - 10.08.2019 02:30","5044","5020"
"10.08.2019 02:30 - 10.08.2019 02:45","4972","4964"
"10.08.2019 02:45 - 10.08.2019 03:00","4912","4894"
"10.08.2019 03:00 - 10.08.2019 03:15","4884","4858"
"10.08.2019 03:15 - 10.08.2019 03:30","4844","4790"
"10.08.2019 03:30 - 10.08.2019 03:45","4816","4750"
"10.08.2019 03:45 - 10.08.2019 04:00","4800","4721"
"10.08.2019 04:00 - 10.08.2019 04:15","4808","4730"
"10.08.2019 04:15 - 10.08.2019 04:30","4816","4761"
"10.08.2019 04:30 - 10.08.2019 04:45","4828","4791"
"10.08.2019 04:45 - 10.08.2019 05:00","4852","4814"
"10.08.2019 05:00 - 10.08.2019 05:15","4916","4917"
"10.08.2019 05:15 - 10.08.2019 05:30","4972","4954"
"10.08.2019 05:30 - 10.08.2019 05:45","5020","4991"
"10.08.2019 05:45 - 10.08.2019 06:00","5088","5022"
"10.08.2019 06:00 - 10.08.2019 06:15","5204","5204"
"10.08.2019 06:15 - 10.08.2019 06:30","5300","5318"
"10.08.2019 06:30 - 10.08.2019 06:45","5392","5384"
"10.08.2019 06:45 - 10.08.2019 07:00","5496","5405"
"10.08.2019 07:00 - 10.08.2019 07:15","5688","5755"
"10.08.2019 07:15 - 10.08.2019 07:30","5780","5860"
"10.08.2019 07:30 - 10.08.2019 07:45","5876","5979"
"10.08.2019 07:45 - 10.08.2019 08:00","5972","6105"
"10.08.2019 08:00 - 10.08.2019 08:15","6096","6279"
"10.08.2019 08:15 - 10.08.2019 08:30","6176","6324"
"10.08.2019 08:30 - 10.08.2019 08:45","6256","6402"
"10.08.2019 08:45 - 10.08.2019 09:00","6328","6487"
"10.08.2019 09:00 - 10.08.2019 09:15","6404","6574"
"10.08.2019 09:15 - 10.08.2019 09:30","6440","6628"
"10.08.2019 09:30 - 10.08.2019 09:45","6468","6688"
"10.08.2019 09:45 - 10.08.2019 10:00","6496","6686"
"10.08.2019 10:00 - 10.08.2019 10:15","6536","6737"
"10.08.2019 10:15 - 10.08.2019 10:30","6552","6754"
"10.08.2019 10:30 - 10.08.2019 10:45","6576","6785"
"10.08.2019 10:45 - 10.08.2019 11:00","6600","6813"
"10.08.2019 11:00 - 10.08.2019 11:15","6628","6867"
"10.08.2019 11:15 - 10.08.2019 11:30","6648","6901"
"10.08.2019 11:30 - 10.08.2019 11:45","6648","6920"
"10.08.2019 11:45 - 10.08.2019 12:00","6620","6884"
"10.08.2019 12:00 - 10.08.2019 12:15","6564","6842"
"10.08.2019 12:15 - 10.08.2019 12:30","6476","6727"
"10.08.2019 12:30 - 10.08.2019 12:45","6420","6695"
"10.08.2019 12:45 - 10.08.2019 13:00","6372","6634"
"10.08.2019 13:00 - 10.08.2019 13:15","6360","6600"
"10.08.2019 13:15 - 10.08.2019 13:30","6312","6576"
"10.08.2019 13:30 - 10.08.2019 13:45","6280","6556"
"10.08.2019 13:45 - 10.08.2019 14:00","6244","6534"
"10.08.2019 14:00 - 10.08.2019 14:15","6232","6494"
"10.08.2019 14:15 - 10.08.2019 14:30","6212","6514"
"10.08.2019 14:30 - 10.08.2019 14:45","6228","6530"
"10.08.2019 14:45 - 10.08.2019 15:00","6200","6537"
"10.08.2019 15:00 - 10.08.2019 15:15","6216","6531"
"10.08.2019 15:15 - 10.08.2019 15:30","6192","6466"
"10.08.2019 15:30 - 10.08.2019 15:45","6212","6507"
"10.08.2019 15:45 - 10.08.2019 16:00","6204","6520"
"10.08.2019 16:00 - 10.08.2019 16:15","6200","6529"
"10.08.2019 16:15 - 10.08.2019 16:30","6200","6519"
"10.08.2019 16:30 - 10.08.2019 16:45","6216","6540"
"10.08.2019 16:45 - 10.08.2019 17:00","6248","6593"
"10.08.2019 17:00 - 10.08.2019 17:15","6276","6639"
"10.08.2019 17:15 - 10.08.2019 17:30","6276","6632"
"10.08.2019 17:30 - 10.08.2019 17:45","6296","6690"
"10.08.2019 17:45 - 10.08.2019 18:00","6316","6768"
"10.08.2019 18:00 - 10.08.2019 18:15","6276","6708"
"10.08.2019 18:15 - 10.08.2019 18:30","6232","6644"
"10.08.2019 18:30 - 10.08.2019 18:45","6200","6582"
"10.08.2019 18:45 - 10.08.2019 19:00","6176","6539"
"10.08.2019 19:00 - 10.08.2019 19:15","6052","6362"
"10.08.2019 19:15 - 10.08.2019 19:30","6028","6318"
"10.08.2019 19:30 - 10.08.2019 19:45","6016","6260"
"10.08.2019 19:45 - 10.08.2019 20:00","6000","6244"
"10.08.2019 20:00 - 10.08.2019 20:15","5980","6189"
"10.08.2019 20:15 - 10.08.2019 20:30","5964","6176"
"10.08.2019 20:30 - 10.08.2019 20:45","5948","6142"
"10.08.2019 20:45 - 10.08.2019 21:00","5924","6064"
"10.08.2019 21:00 - 10.08.2019 21:15","5892","5976"
"10.08.2019 21:15 - 10.08.2019 21:30","5836","5868"
"10.08.2019 21:30 - 10.08.2019 21:45","5768","5799"
"10.08.2019 21:45 - 10.08.2019 22:00","5696","5746"
"10.08.2019 22:00 - 10.08.2019 22:15","5800","5806"
"10.08.2019 22:15 - 10.08.2019 22:30","5752","5741"
"10.08.2019 22:30 - 10.08.2019 22:45","5608","5604"
"10.08.2019 22:45 - 10.08.2019 23:00","5504","5497"
"10.08.2019 23:00 - 10.08.2019 23:15","5448","5370"
"10.08.2019 23:15 - 10.08.2019 23:30","5320","5233"
"10.08.2019 23:30 - 10.08.2019 23:45","5204","5142"
"10.08.2019 23:45 - 11.08.2019 00:00","5120","5054"
"11.08.2019 00:00 - 11.08.2019 00:15","5168","5090"
"11.08.2019 00:15 - 11.08.2019 00:30","5064","4988"
"11.08.2019 00:30 - 11.08.2019 00:45","4964","4890"
"11.08.2019 00:45 - 11.08.2019 01:00","4872","4785"
"11.08.2019 01:00 - 11.08.2019 01:15","4852","4762"
"11.08.2019 01:15 - 11.08.2019 01:30","4764","4695"
"11.08.2019 01:30 - 11.08.2019 01:45","4688","4598"
"11.08.2019 01:45 - 11.08.2019 02:00","4636","4546"
"11.08.2019 02:00 - 11.08.2019 02:15","4772","4665"
"11.08.2019 02:15 - 11.08.2019 02:30","4704","4604"
"11.08.2019 02:30 - 11.08.2019 02:45","4644","4536"
"11.08.2019 02:45 - 11.08.2019 03:00","4584","4494"
"11.08.2019 03:00 - 11.08.2019 03:15","4552","4498"
"11.08.2019 03:15 - 11.08.2019 03:30","4516","4464"
"11.08.2019 03:30 - 11.08.2019 03:45","4488","4440"
"11.08.2019 03:45 - 11.08.2019 04:00","4472","4400"
"11.08.2019 04:00 - 11.08.2019 04:15","4484","4409"
"11.08.2019 04:15 - 11.08.2019 04:30","4476","4408"
"11.08.2019 04:30 - 11.08.2019 04:45","4480","4406"
"11.08.2019 04:45 - 11.08.2019 05:00","4484","4428"
"11.08.2019 05:00 - 11.08.2019 05:15","4516","4470"
"11.08.2019 05:15 - 11.08.2019 05:30","4520","4515"
"11.08.2019 05:30 - 11.08.2019 05:45","4532","4542"
"11.08.2019 05:45 - 11.08.2019 06:00","4552","4555"
"11.08.2019 06:00 - 11.08.2019 06:15","4600","4617"
"11.08.2019 06:15 - 11.08.2019 06:30","4644","4643"
"11.08.2019 06:30 - 11.08.2019 06:45","4700","4703"
"11.08.2019 06:45 - 11.08.2019 07:00","4768","4768"
"11.08.2019 07:00 - 11.08.2019 07:15","4936","5068"
"11.08.2019 07:15 - 11.08.2019 07:30","5008","5154"
"11.08.2019 07:30 - 11.08.2019 07:45","5076","5216"
"11.08.2019 07:45 - 11.08.2019 08:00","5156","5300"
"11.08.2019 08:00 - 11.08.2019 08:15","5252","5442"
"11.08.2019 08:15 - 11.08.2019 08:30","5332","5524"
"11.08.2019 08:30 - 11.08.2019 08:45","5392","5566"
"11.08.2019 08:45 - 11.08.2019 09:00","5464","5591"
"11.08.2019 09:00 - 11.08.2019 09:15","5520","5714"
"11.08.2019 09:15 - 11.08.2019 09:30","5580","5777"
"11.08.2019 09:30 - 11.08.2019 09:45","5640","5828"
"11.08.2019 09:45 - 11.08.2019 10:00","5692","5842"
"11.08.2019 10:00 - 11.08.2019 10:15","5764","5895"
"11.08.2019 10:15 - 11.08.2019 10:30","5820","5918"
"11.08.2019 10:30 - 11.08.2019 10:45","5860","5952"
"11.08.2019 10:45 - 11.08.2019 11:00","5908","5997"
"11.08.2019 11:00 - 11.08.2019 11:15","5948","6022"
"11.08.2019 11:15 - 11.08.2019 11:30","5992","6054"
"11.08.2019 11:30 - 11.08.2019 11:45","6004","6036"
"11.08.2019 11:45 - 11.08.2019 12:00","5984","6004"
"11.08.2019 12:00 - 11.08.2019 12:15","5972","5953"
"11.08.2019 12:15 - 11.08.2019 12:30","5900","5840"
"11.08.2019 12:30 - 11.08.2019 12:45","5836","5782"
"11.08.2019 12:45 - 11.08.2019 13:00","5788","5749"
"11.08.2019 13:00 - 11.08.2019 13:15","5776","5738"
"11.08.2019 13:15 - 11.08.2019 13:30","5740","5693"
"11.08.2019 13:30 - 11.08.2019 13:45","5708","5636"
"11.08.2019 13:45 - 11.08.2019 14:00","5664","5588"
"11.08.2019 14:00 - 11.08.2019 14:15","5640","5536"
"11.08.2019 14:15 - 11.08.2019 14:30","5596","5488"
"11.08.2019 14:30 - 11.08.2019 14:45","5572","5388"
"11.08.2019 14:45 - 11.08.2019 15:00","5544","5358"
"11.08.2019 15:00 - 11.08.2019 15:15","5556","5393"
"11.08.2019 15:15 - 11.08.2019 15:30","5544","5387"
"11.08.2019 15:30 - 11.08.2019 15:45","5536","5426"
"11.08.2019 15:45 - 11.08.2019 16:00","5540","5452"
"11.08.2019 16:00 - 11.08.2019 16:15","5544","5420"
"11.08.2019 16:15 - 11.08.2019 16:30","5564","5454"
"11.08.2019 16:30 - 11.08.2019 16:45","5588","5522"
"11.08.2019 16:45 - 11.08.2019 17:00","5632","5582"
"11.08.2019 17:00 - 11.08.2019 17:15","5704","5705"
