"Time (CET)","Day-ahead Total Load Forecast [MW] - Luxembourg (LU)","Actual Total Load [MW] - Luxembourg (LU)"
"04.01.2019 07:00 - 04.01.2019 07:15","448","0"
"04.01.2019 07:15 - 04.01.2019 07:30","465","0"
"04.01.2019 07:30 - 04.01.2019 07:45","477","0"
"04.01.2019 07:45 - 04.01.2019 08:00","489","0"
"04.01.2019 08:00 - 04.01.2019 08:15","501","0"
"04.01.2019 08:15 - 04.01.2019 08:30","513","0"
"04.01.2019 08:30 - 04.01.2019 08:45","520","0"
"04.01.2019 08:45 - 04.01.2019 09:00","515","0"
"04.01.2019 09:00 - 04.01.2019 09:15","517","0"
"04.01.2019 09:15 - 04.01.2019 09:30","526","0"
"04.01.2019 09:30 - 04.01.2019 09:45","529","0"
"04.01.2019 09:45 - 04.01.2019 10:00","529","0"
"04.01.2019 10:00 - 04.01.2019 10:15","529","0"
"04.01.2019 10:15 - 04.01.2019 10:30","537","590"
"04.01.2019 10:30 - 04.01.2019 10:45","540","617"
"04.01.2019 10:45 - 04.01.2019 11:00","536","613"
"04.01.2019 11:00 - 04.01.2019 11:15","536","599"
"04.01.2019 11:15 - 04.01.2019 11:30","532","605"
"04.01.2019 11:30 - 04.01.2019 11:45","541","592"
"04.01.2019 11:45 - 04.01.2019 12:00","545","593"
"04.01.2019 12:00 - 04.01.2019 12:15","554","602"
"04.01.2019 12:15 - 04.01.2019 12:30","554","646"
"04.01.2019 12:30 - 04.01.2019 12:45","551","637"
"04.01.2019 12:45 - 04.01.2019 13:00","547","645"
"04.01.2019 13:00 - 04.01.2019 13:15","543","633"
"04.01.2019 13:15 - 04.01.2019 13:30","534","660"
"04.01.2019 13:30 - 04.01.2019 13:45","536","624"
"04.01.2019 13:45 - 04.01.2019 14:00","529","644"
"04.01.2019 14:00 - 04.01.2019 14:15","528","624"
"04.01.2019 14:15 - 04.01.2019 14:30","526","631"
"04.01.2019 14:30 - 04.01.2019 14:45","524","615"
"04.01.2019 14:45 - 04.01.2019 15:00","514","600"
"04.01.2019 15:00 - 04.01.2019 15:15","512","0"
"04.01.2019 15:15 - 04.01.2019 15:30","501","0"
"04.01.2019 15:30 - 04.01.2019 15:45","504","0"
"04.01.2019 15:45 - 04.01.2019 16:00","507","0"
"04.01.2019 16:00 - 04.01.2019 16:15","510","0"
"04.01.2019 16:15 - 04.01.2019 16:30","504","0"
"04.01.2019 16:30 - 04.01.2019 16:45","506","0"
"04.01.2019 16:45 - 04.01.2019 17:00","507","0"
"04.01.2019 17:00 - 04.01.2019 17:15","518","0"
"04.01.2019 17:15 - 04.01.2019 17:30","531","0"
"04.01.2019 17:30 - 04.01.2019 17:45","536","0"
"04.01.2019 17:45 - 04.01.2019 18:00","539","0"
"04.01.2019 18:00 - 04.01.2019 18:15","547","0"
"04.01.2019 18:15 - 04.01.2019 18:30","536","0"
"04.01.2019 18:30 - 04.01.2019 18:45","536","0"
"04.01.2019 18:45 - 04.01.2019 19:00","536","0"
"04.01.2019 19:00 - 04.01.2019 19:15","533","0"
"04.01.2019 19:15 - 04.01.2019 19:30","529","0"
"04.01.2019 19:30 - 04.01.2019 19:45","524","0"
"04.01.2019 19:45 - 04.01.2019 20:00","514","0"
"04.01.2019 20:00 - 04.01.2019 20:15","505","0"
"04.01.2019 20:15 - 04.01.2019 20:30","504","0"
"04.01.2019 20:30 - 04.01.2019 20:45","496","0"
"04.01.2019 20:45 - 04.01.2019 21:00","479","0"
"04.01.2019 21:00 - 04.01.2019 21:15","469","0"
"04.01.2019 21:15 - 04.01.2019 21:30","458","0"
"04.01.2019 21:30 - 04.01.2019 21:45","455","0"
"04.01.2019 21:45 - 04.01.2019 22:00","444","0"
"04.01.2019 22:00 - 04.01.2019 22:15","441","0"
"04.01.2019 22:15 - 04.01.2019 22:30","485","0"
"04.01.2019 22:30 - 04.01.2019 22:45","501","0"
"04.01.2019 22:45 - 04.01.2019 23:00","491","0"
"04.01.2019 23:00 - 04.01.2019 23:15","491","0"
"04.01.2019 23:15 - 04.01.2019 23:30","480","0"
"04.01.2019 23:30 - 04.01.2019 23:45","471","0"
"04.01.2019 23:45 - 05.01.2019 00:00","463","0"
"05.01.2019 00:00 - 05.01.2019 00:15","454","0"
"05.01.2019 00:15 - 05.01.2019 00:30","451","0"
"05.01.2019 00:30 - 05.01.2019 00:45","443","0"
"05.01.2019 00:45 - 05.01.2019 01:00","437","0"
"05.01.2019 01:00 - 05.01.2019 01:15","432","0"
"05.01.2019 01:15 - 05.01.2019 01:30","431","0"
"05.01.2019 01:30 - 05.01.2019 01:45","424","0"
"05.01.2019 01:45 - 05.01.2019 02:00","418","0"
"05.01.2019 02:00 - 05.01.2019 02:15","415","0"
"05.01.2019 02:15 - 05.01.2019 02:30","411","0"
"05.01.2019 02:30 - 05.01.2019 02:45","405","0"
"05.01.2019 02:45 - 05.01.2019 03:00","403","0"
"05.01.2019 03:00 - 05.01.2019 03:15","403","0"
"05.01.2019 03:15 - 05.01.2019 03:30","403","0"
"05.01.2019 03:30 - 05.01.2019 03:45","403","0"
"05.01.2019 03:45 - 05.01.2019 04:00","401","0"
"05.01.2019 04:00 - 05.01.2019 04:15","400","0"
"05.01.2019 04:15 - 05.01.2019 04:30","398","0"
"05.01.2019 04:30 - 05.01.2019 04:45","395","0"
"05.01.2019 04:45 - 05.01.2019 05:00","397","0"
"05.01.2019 05:00 - 05.01.2019 05:15","399","0"
"05.01.2019 05:15 - 05.01.2019 05:30","401","0"
"05.01.2019 05:30 - 05.01.2019 05:45","403","0"
"05.01.2019 05:45 - 05.01.2019 06:00","403","0"
"05.01.2019 06:00 - 05.01.2019 06:15","407","383"
"05.01.2019 06:15 - 05.01.2019 06:30","376","445"
"05.01.2019 06:30 - 05.01.2019 06:45","362","453"
"05.01.2019 06:45 - 05.01.2019 07:00","363","0"
"05.01.2019 07:00 - 05.01.2019 07:15","368","425"
"05.01.2019 07:15 - 05.01.2019 07:30","374","453"
"05.01.2019 07:30 - 05.01.2019 07:45","382","456"
"05.01.2019 07:45 - 05.01.2019 08:00","387","0"
"05.01.2019 08:00 - 05.01.2019 08:15","396","443"
"05.01.2019 08:15 - 05.01.2019 08:30","398","434"
"05.01.2019 08:30 - 05.01.2019 08:45","404","0"
"05.01.2019 08:45 - 05.01.2019 09:00","398","0"
"05.01.2019 09:00 - 05.01.2019 09:15","405","374"
"05.01.2019 09:15 - 05.01.2019 09:30","405","438"
"05.01.2019 09:30 - 05.01.2019 09:45","411","433"
"05.01.2019 09:45 - 05.01.2019 10:00","416","429"
"05.01.2019 10:00 - 05.01.2019 10:15","423","480"
"05.01.2019 10:15 - 05.01.2019 10:30","434","487"
"05.01.2019 10:30 - 05.01.2019 10:45","443","488"
"05.01.2019 10:45 - 05.01.2019 11:00","444","484"
"05.01.2019 11:00 - 05.01.2019 11:15","443","522"
"05.01.2019 11:15 - 05.01.2019 11:30","440","556"
"05.01.2019 11:30 - 05.01.2019 11:45","446","527"
"05.01.2019 11:45 - 05.01.2019 12:00","454","514"
"05.01.2019 12:00 - 05.01.2019 12:15","461","493"
"05.01.2019 12:15 - 05.01.2019 12:30","462","528"
"05.01.2019 12:30 - 05.01.2019 12:45","463","531"
"05.01.2019 12:45 - 05.01.2019 13:00","455","540"
"05.01.2019 13:00 - 05.01.2019 13:15","451","549"
"05.01.2019 13:15 - 05.01.2019 13:30","445","559"
"05.01.2019 13:30 - 05.01.2019 13:45","440","525"
"05.01.2019 13:45 - 05.01.2019 14:00","438","539"
"05.01.2019 14:00 - 05.01.2019 14:15","436","536"
"05.01.2019 14:15 - 05.01.2019 14:30","432","559"
"05.01.2019 14:30 - 05.01.2019 14:45","431","542"
"05.01.2019 14:45 - 05.01.2019 15:00","423","527"
"05.01.2019 15:00 - 05.01.2019 15:15","420","520"
"05.01.2019 15:15 - 05.01.2019 15:30","418","508"
"05.01.2019 15:30 - 05.01.2019 15:45","416","511"
"05.01.2019 15:45 - 05.01.2019 16:00","414","500"
"05.01.2019 16:00 - 05.01.2019 16:15","415","501"
"05.01.2019 16:15 - 05.01.2019 16:30","421","498"
"05.01.2019 16:30 - 05.01.2019 16:45","424","502"
"05.01.2019 16:45 - 05.01.2019 17:00","429","493"
"05.01.2019 17:00 - 05.01.2019 17:15","439","493"
"05.01.2019 17:15 - 05.01.2019 17:30","458","507"
"05.01.2019 17:30 - 05.01.2019 17:45","467","522"
"05.01.2019 17:45 - 05.01.2019 18:00","472","539"
"05.01.2019 18:00 - 05.01.2019 18:15","478","542"
"05.01.2019 18:15 - 05.01.2019 18:30","476","494"
"05.01.2019 18:30 - 05.01.2019 18:45","479","511"
"05.01.2019 18:45 - 05.01.2019 19:00","474","511"
"05.01.2019 19:00 - 05.01.2019 19:15","474","521"
